Scenario,Scenario_Label,Model,Event_Type,Split_Year,Percent_RR_GT_1
obsclim-histsoc,Factual,h08,Flood,1990,48.20821344493853
obsclim-histsoc,Factual,hydropy,Drought,1980,41.78674351585015
obsclim-histsoc,Factual,hydropy,Drought,1985,41.36756615142782
obsclim-histsoc,Factual,hydropy,Drought,1990,41.65575058946817
obsclim-histsoc,Factual,hydropy,Flood,1980,58.89441970133613
obsclim-histsoc,Factual,hydropy,Flood,1985,58.31805082525544
obsclim-histsoc,Factual,hydropy,Flood,1990,59.81137018600996
obsclim-histsoc,Factual,jules-w2,Drought,1980,36.92217671152721
obsclim-histsoc,Factual,jules-w2,Drought,1985,34.34757167934465
obsclim-histsoc,Factual,jules-w2,Drought,1990,33.67466354593329
obsclim-histsoc,Factual,jules-w2,Flood,1980,52.77940315974254
obsclim-histsoc,Factual,jules-w2,Flood,1985,50.84844938560562
obsclim-histsoc,Factual,jules-w2,Flood,1990,54.27150380339379
obsclim-histsoc,Factual,lpjml5-7-10-fire,Drought,1980,41.6917418923437
obsclim-histsoc,Factual,lpjml5-7-10-fire,Drought,1985,41.25710464727516
obsclim-histsoc,Factual,lpjml5-7-10-fire,Drought,1990,39.98662654630558
obsclim-histsoc,Factual,lpjml5-7-10-fire,Flood,1980,56.97091273821464
obsclim-histsoc,Factual,lpjml5-7-10-fire,Flood,1985,54.53025743898362
obsclim-histsoc,Factual,lpjml5-7-10-fire,Flood,1990,56.26880641925778
obsclim-histsoc,Factual,miroc-integ-land,Drought,1980,37.40517917865551
obsclim-histsoc,Factual,miroc-integ-land,Drought,1985,38.11143081349726
obsclim-histsoc,Factual,miroc-integ-land,Drought,1990,37.58828145435522
obsclim-histsoc,Factual,miroc-integ-land,Flood,1980,56.84017787078211
obsclim-histsoc,Factual,miroc-integ-land,Flood,1985,54.721422966256874
obsclim-histsoc,Factual,miroc-integ-land,Flood,1990,55.976981428197746
obsclim-histsoc,Factual,watergap2-2e,Drought,1980,37.33826247689464
obsclim-histsoc,Factual,watergap2-2e,Drought,1985,36.519672564034856
obsclim-histsoc,Factual,watergap2-2e,Drought,1990,37.15341959334565
obsclim-histsoc,Factual,watergap2-2e,Flood,1980,58.172696065487195
obsclim-histsoc,Factual,watergap2-2e,Flood,1985,58.11988381304462
obsclim-histsoc,Factual,watergap2-2e,Flood,1990,62.10720887245841
obsclim-histsoc,Factual,web-dhm-sg,Drought,1980,49.16785544460295
obsclim-histsoc,Factual,web-dhm-sg,Drought,1985,47.07560627674751
obsclim-histsoc,Factual,web-dhm-sg,Drought,1990,46.409890632429864
obsclim-histsoc,Factual,web-dhm-sg,Flood,1980,50.59438896814075
obsclim-histsoc,Factual,web-dhm-sg,Flood,1985,48.264384213029004
obsclim-histsoc,Factual,web-dhm-sg,Flood,1990,50.07132667617689
