Family,Event_Type,Definition,Basin_Name,Mean_Abs_Delta_CC_mean,Mean_Abs_Delta_CC_std,Mean_Abs_Delta_CC_min,Mean_Abs_Delta_CC_max,Mean_Abs_Delta_HA_mean,Mean_Abs_Delta_HA_std,Mean_Abs_Delta_HA_min,Mean_Abs_Delta_HA_max,DIndex_mean,DIndex_std,DIndex_min,DIndex_max,Model_Count,Pooled_DIndex,Climate_Dominant_Model_Count,Human_Dominant_Model_Count
Event_Definition,Drought,T05_D10,CSL,0.7601779929068664,1.0178587550526874,0.16181614520153656,2.983280124256506,0.4117106834804365,0.6862828582807396,0.05398282438543256,1.9552614658680063,0.6620395137015358,0.16021487512285335,0.5024944393583314,0.9475971676191506,7,0.648677650210208,7,0
Event_Definition,Drought,T05_D10,PSE,0.10760796680205155,0.023792442040259234,0.08423804256362437,0.15620982268462233,0.05994609237848351,0.04504303377963096,0.007196477009981409,0.14110350912872038,0.6807230853685582,0.15138945123837994,0.5254047026141866,0.933984510076875,7,0.6422283490375296,7,0
Event_Definition,Drought,T05_D10,SWRB,0.5605394730632296,0.7752065671109885,0.1540259413683163,2.3116068721120717,0.04554994888105558,0.03046908854732699,0.01194232581379518,0.09358955957760384,0.8782042492137838,0.10322968654538028,0.7132640827587038,0.9628885858832523,7,0.9248461576264851,7,0
Event_Definition,Drought,T05_D10,YHH,0.36336866322161804,0.49260666099010975,0.09622539757298508,1.4604833775637527,0.39904523113814944,0.523714632145459,0.01614167418033719,1.5433477725689262,0.5206657779046594,0.17408924250498278,0.3776548005364225,0.8563487156115204,7,0.47660288710603144,2,5
Event_Definition,Drought,T05_D10,YZR,0.16236238693010785,0.06579252745790874,0.09745920677586892,0.28079762303766015,0.06664429035375129,0.04078329656748016,0.012025781226090463,0.11658525674141502,0.7223583166947444,0.12589387445392877,0.49723429379440465,0.9190073656324859,7,0.7089853835521829,6,1
Event_Definition,Drought,T05_D20,CSL,0.749276879157472,0.8800028377604202,0.20300600607019553,2.667350928606563,0.39241869809055807,0.5737527408893681,0.05201002073119773,1.6753183265355278,0.6630729478876463,0.16462200989290804,0.49675221653985946,0.9466509241206469,7,0.6562842968732056,6,1
Event_Definition,Drought,T05_D20,PSE,0.13080198895272743,0.02678472169278979,0.11174952814966738,0.1890475881001715,0.07210107216062576,0.05563633629823302,0.007605715187166579,0.17352413884907575,0.685502694730091,0.1540761225596528,0.5214074183082521,0.9412183617393168,7,0.6446526150714601,7,0
Event_Definition,Drought,T05_D20,SWRB,0.7499105537506623,1.1547314441698215,0.21528526910049972,3.3613892309195563,0.06294029744172398,0.04116773289260996,0.016630105636446926,0.12790002220513202,0.8646768041441464,0.10870100361385,0.7078576739574703,0.9633449642815951,7,0.9225684547793784,7,0
Event_Definition,Drought,T05_D20,YHH,0.3968260386727933,0.4578370409534592,0.13354336557362617,1.409224716850876,0.434091235996175,0.5232228996029469,0.020696175250219603,1.57379005272474,0.528053411412408,0.17175739595274878,0.3817842936201188,0.8658179663938682,7,0.4775758679838327,2,5
Event_Definition,Drought,T05_D20,YZR,0.20216800325005993,0.09559113366001476,0.12198510091001225,0.37911175071481146,0.0815408004669447,0.050831198523924814,0.012614983498017335,0.1443997815522365,0.7237591308694581,0.13345892022901323,0.4832633492996759,0.9274874042429435,7,0.7125898125167788,6,1
Event_Definition,Drought,T05_D30,CSL,0.7961744228531894,0.8325984892730118,0.24196100456367045,2.590826919111085,0.3888985016800416,0.4946630239969718,0.05679218161461509,1.4811000277889745,0.6682676893486689,0.16968057307914497,0.487228022903584,0.941674576606565,7,0.6718358055195477,6,1
Event_Definition,Drought,T05_D30,PSE,0.15611124814541075,0.032780422973831165,0.13370558229658427,0.22768117064711638,0.08086413825538977,0.06278478820601177,0.006709171471463088,0.1940623774703947,0.699112064989383,0.15458822636076047,0.5398569146188271,0.9540118990354853,7,0.6587656655673815,7,0
Event_Definition,Drought,T05_D30,SWRB,0.9095008209223641,1.39108816757405,0.297531839981682,4.053932177324426,0.07348261705526228,0.04151626005245185,0.018562674972342857,0.1216962143225375,0.8684763508300476,0.09693432363545011,0.7338100183334068,0.9708555927615633,7,0.9252453152146244,7,0
Event_Definition,Drought,T05_D30,YHH,0.402693280470198,0.35580795768731394,0.182271857927578,1.1544571084101183,0.4607370658934542,0.45043866965734625,0.025189672927252688,1.3924164865719868,0.5184374364177334,0.18178872966075196,0.3673219902474921,0.8785814756911298,7,0.46638768508212136,3,4
Event_Definition,Drought,T05_D30,YZR,0.24746774430305976,0.12887754165266627,0.13724797774003586,0.48745650414673347,0.09245114758903179,0.05319104719018179,0.014170311443519748,0.16571668511642906,0.7294065596867801,0.1307028413782283,0.497579450440001,0.9327527362133965,7,0.7280199783118241,6,1
Event_Definition,Drought,T08_D10,CSL,1.1594832757530358,1.698582288034229,0.21294387911463825,4.928515965418235,0.5910136943203438,0.8365103720130544,0.042937420428059654,2.3362637701268025,0.6502861144550147,0.2213987627370661,0.31035548798902673,0.9670381568251184,7,0.6623737690356762,5,2
Event_Definition,Drought,T08_D10,PSE,0.14463841646348954,0.035943589169836976,0.11111672609340693,0.21581802973955275,0.08715423561509929,0.06803718135777648,0.008134416304825798,0.20041703835450841,0.6705856571358498,0.16696673167856332,0.5136640282756563,0.9403430013748258,7,0.6239991439178588,7,0
