Grid_ID,Lon,Lat,Event_Type,FR_Natural_mean,FR_Natural_std,FR_Natural_q25,FR_Natural_q75,FR_Natural_count,FR_Historical_mean,FR_Historical_std,FR_Historical_q25,FR_Historical_q75,FR_Historical_count,FR_Factual_mean,FR_Factual_std,FR_Factual_q25,FR_Factual_q75,FR_Factual_count,Delta_Total_mean,Delta_Total_std,Delta_Total_q25,Delta_Total_q75,Delta_Total_count,Delta_HA_mean,Delta_HA_std,Delta_HA_q25,Delta_HA_q75,Delta_HA_count,Delta_CC_mean,Delta_CC_std,Delta_CC_q25,Delta_CC_q75,Delta_CC_count,Delta_Total_Sign_Agreement,Delta_HA_Sign_Agreement,Delta_CC_Sign_Agreement
355,121.25,53.25,Drought,1.1526085532236279,0.12849208789741876,1.086771935051393,1.2177920256461632,6,1.1410911886676374,0.13326543073570546,1.0483584738243124,1.2190958323522487,6,0.8100308191670567,0.21246615947419026,0.6837944664031621,0.9660175639557083,6,-0.3425777340565714,0.12378848594182339,-0.4421531136483354,-0.24055999211278697,6,-0.011517364555990617,0.05697015027674379,0.0,0.01612903225806467,6,-0.33106036950058076,0.15825024221456763,-0.4421531136483354,-0.24580690425490134,6,1.0,0.16666666666666666,1.0
356,121.75,53.25,Drought,1.0523519301395199,0.17311382794520913,0.9300346566928592,1.2010399831354086,6,1.0520372214793947,0.16291533276120557,0.9218788324748589,1.1870212915466236,6,0.740561802344127,0.20283073357121637,0.6145287395824384,0.8779685787358421,6,-0.31179012779539295,0.1574482439318938,-0.3656537336365598,-0.20225343542915816,6,-0.0003147086601252476,0.027770678275516998,-0.014018691588785048,0.0,6,-0.3114754191352677,0.1704364318837726,-0.4027237089087823,-0.17311306557889544,6,1.0,0.3333333333333333,1.0
357,122.25,53.25,Drought,0.9381513079506267,0.07451744371060982,0.8943907411060696,0.9710753866764097,6,0.9372744954696118,0.06442455083448584,0.8902848653187778,0.9836601307189543,6,0.7132311164196361,0.14986882550624597,0.59183229363122,0.8077452931272003,6,-0.22492019153099063,0.10516131628357167,-0.27720052976408416,-0.1753886933432351,6,-0.0008768124810149177,0.02089702698006443,-0.012317627361875222,0.013847629451023774,6,-0.2240433790499757,0.10073721928771918,-0.2753427055524001,-0.186387793178188,6,1.0,0.3333333333333333,1.0
358,122.75,53.25,Drought,0.9390488517080855,0.13740789313278914,0.8357728067752923,1.0341427338838902,6,0.914880756616677,0.12493776695259318,0.8180930205023975,0.9498255442527889,6,0.7126687515343352,0.13308773887316563,0.5930743315279969,0.8213943950786056,6,-0.22638010017375024,0.08571592426919769,-0.27341977246227933,-0.1769764295318842,6,-0.024168095091408475,0.06358992077739534,-0.016496237700173666,0.009813065163618656,6,-0.2022120050823418,0.08341494817605652,-0.23032050744721144,-0.14372506871485227,6,1.0,0.3333333333333333,1.0
359,123.25,53.25,Drought,1.0012292671389864,0.08309541334016643,0.969634858151215,1.0233115468409586,6,1.0204812300214232,0.08967022119744386,0.9807834340892305,1.0756698601362775,6,0.8379342784629332,0.11361085318123193,0.7418546365914787,0.9258411452656057,6,-0.16329498867605322,0.07641148133623017,-0.21896759334342278,-0.11531360346221989,6,0.019251962882436746,0.02488038059635337,0.0,0.03840660758578471,6,-0.18254695155848996,0.056867346991453536,-0.2301161692814383,-0.15610844488872352,6,1.0,0.5,1.0
360,123.75,53.25,Drought,1.0403362641439822,0.10253772477742594,1.0031446540880502,1.0437649598723424,6,1.0310549648360612,0.09856885472665111,0.9817813765182187,1.0437649598723424,6,0.7948875761779409,0.0983716256729452,0.7289262371615313,0.881781512605042,6,-0.24544868796604122,0.126889015950316,-0.31499003322259134,-0.21764910388661773,6,-0.009281299307921043,0.010821723522194942,-0.017257915227762766,0.0,6,-0.23616738865812015,0.12316016329081655,-0.29766482063563326,-0.21164352675188589,6,1.0,0.5,1.0
361,124.25,53.25,Drought,1.090649006960625,0.11960151606970168,1.0120197044334973,1.1153548387096772,6,1.0929557374779837,0.07041368655532837,1.0346475507765833,1.1459775280898876,6,0.7923445548482029,0.12066682559910615,0.6842134243709046,0.89466677760213,6,-0.29830445211242207,0.20795759726499838,-0.35551162351162346,-0.13503288869375435,6,0.002306730517358672,0.10544873583293805,-0.015225806451612756,0.018518518518518767,6,-0.30061118262978076,0.13973990925750301,-0.3700301420301423,-0.20867631859478336,6,1.0,0.3333333333333333,1.0
481,120.25,52.75,Drought,1.089394554441883,0.3636372014213104,0.9679062583538778,1.2582202111613878,6,1.1011906790284196,0.36901802204188744,0.975867269984917,1.2869281045751637,6,0.8575961266334339,0.17825135186518828,0.7800361336946703,0.9943167466531951,6,-0.2317984278084492,0.30660140309963285,-0.3815868547386057,-0.16401129463545294,6,0.011796124586536652,0.04277095203490543,-0.00652323186083778,0.0,6,-0.24359455239498587,0.29895302953641467,-0.3794124441183264,-0.2276511805923574,6,0.8333333333333334,0.16666666666666666,0.8333333333333334
482,120.75,52.75,Drought,1.0543156181351716,0.09351750691567737,1.0006523908204774,1.1217541988802986,6,1.0462245275434119,0.10113169341495373,0.9858009056719625,1.1187813968562632,6,0.7775155927055356,0.12728050307472907,0.7200208550573515,0.8369490751313085,6,-0.276800025429636,0.09020213315561855,-0.3208790514336679,-0.2107028393764752,6,-0.008091090591759775,0.009216944736326263,-0.01561281846633325,0.0,6,-0.2687089348378762,0.09002219043285108,-0.3077473065474623,-0.20575234432697023,6,1.0,0.5,1.0
483,121.25,52.75,Drought,1.0578273058647714,0.2359285868403034,0.8945117029862792,1.24603640634175,6,1.0593944019814139,0.23494112710097767,0.8959139179970461,1.24603640634175,6,0.7368931505796407,0.16823013807366424,0.5997130559540889,0.8241379310344827,6,-0.32093415528513064,0.1333581867115797,-0.40293678365802454,-0.2331987982106132,6,0.0015670961166425006,0.004827847595830494,0.0,0.0,6,-0.3225012514017731,0.13052142102918396,-0.40246256907592615,-0.2331987982106132,6,1.0,0.16666666666666666,1.0
484,121.75,52.75,Drought,1.0965876885553343,0.17300779273500802,0.9935517831293592,1.241978318603335,6,1.0868767105354509,0.17830394426882504,0.9879539259650049,1.2330097087378642,6,0.7000702284649699,0.12351926381311629,0.6529235382308846,0.7954061094008998,6,-0.3965174600903643,0.1605509495495558,-0.531989210260409,-0.28727427173025977,6,-0.009710978019883429,0.01802915734404135,-0.010067114093959717,0.0,6,-0.3868064820704809,0.15413415548969683,-0.5074213973468504,-0.28391856703227325,6,1.0,0.3333333333333333,1.0
485,122.25,52.75,Drought,0.9972416704904262,0.12195415476898713,0.9071301858018737,1.0861876914508493,6,0.9776461749921896,0.10925496241814943,0.9014238902378651,1.0666666666666667,6,0.7315525521533419,0.10686232186720326,0.6801379495078015,0.78558352402746,6,-0.2656891183370844,0.06498545043944494,-0.3141470694260954,-0.21534581296441438,6,-0.019595495498236654,0.05937343302011234,-0.006684723556367428,0.01111111111111096,6,-0.24609362283884773,0.0819214222614448,-0.3159146441825713,-0.18366468624692966,6,1.0,0.3333333333333333,1.0
486,122.75,52.75,Drought,1.0264275843635613,0.11347324348020668,0.9933136676499508,1.1102646351242984,6,1.0463086989630412,0.13085190375454803,0.9822025565388398,1.1431955777836273,6,0.6843830423121876,0.10928283749120864,0.651754653646628,0.7610780141843971,6,-0.3420445420513736,0.06577076041830848,-0.36214878330616823,-0.3022568416166448,6,0.01988111459947996,0.03153386914626529,0.0,0.038266254651414366,6,-0.3619256566508536,0.08604166157198355,-0.39472276623328334,-0.30759215360873016,6,1.0,0.5,1.0
487,123.25,52.75,Drought,0.9889969903703887,0.08172721914980946,0.9144658102609111,1.0631882127042596,6,0.9835712313680579,0.10168996193418219,0.8964334157823346,1.0559460447730875,6,0.7287529625207791,0.09421694181703374,0.6952943003571983,0.7613872613872613,6,-0.2602440278496096,0.08209883937272355,-0.32427929508221476,-0.20314747479207335,6,-0.005425759002330721,0.03173207093294502,-0.01399706756006891,0.0,6,-0.2548182688472789,0.09006133399193905,-0.3143642085033549,-0.18990244167949058,6,1.0,0.5,1.0
488,123.75,52.75,Drought,1.1077414712221152,0.12469228095615083,1.0179856115107913,1.2020408163265306,6,1.0715902462613303,0.13458252958061262,0.9629629629629629,1.1729480113213169,6,0.8506074796862556,0.12506034356072973,0.7438951360702641,0.9618482882076528,6,-0.25713399153585964,0.18702048169352462,-0.3909690540317705,-0.14576291662298452,6,-0.03615122496078486,0.08374989948861439,-0.04655312246553117,0.012731402179843504,6,-0.22098276657507476,0.21090178934965073,-0.40719480359085336,-0.08002672986849693,6,1.0,0.3333333333333333,0.8333333333333334
489,124.25,52.75,Drought,1.1834253761646334,0.16256648577641442,1.1367880485527544,1.2142252584487032,6,1.165765662831377,0.17076908753157582,1.100492426269871,1.2016202164318965,6,0.8096113910625892,0.19542150063782723,0.6479503105590062,0.9395929694727104,6,-0.3738139851020443,0.26438789821387854,-0.37166586064337326,-0.2062114392472991,6,-0.017659713333256333,0.020845390580248726,-0.024304090842658277,-0.0019323671497584738,6,-0.356154271768788,0.2707522528569529,-0.3523600152364368,-0.18834783408880643,6,1.0,0.6666666666666666,1.0
490,124.75,52.75,Drought,1.0825096158136718,0.1390184103304584,0.9995118729721194,1.1641771138970394,6,1.0955877774608314,0.1411367015671968,1.0273494702386081,1.1925465838509317,6,0.8368122186358494,0.15813553924420407,0.7567299006323397,0.9384520505704594,6,-0.24569739717782255,0.17731890060974084,-0.34777614456463113,-0.11126245387944339,6,0.01307816164715947,0.031037390591024245,-0.009900705963381745,0.027837597266488573,6,-0.258775558824982,0.1813686344500243,-0.3880147522457848,-0.12190075175178366,6,1.0,0.5,1.0
491,125.25,52.75,Drought,1.1761929358071168,0.11927962839989033,1.0846079438969831,1.2810189810189812,6,1.183739860737441,0.13835361896942158,1.0720029018801764,1.3005138746145941,6,0.8922689630826112,0.1774023762521447,0.8600861731296514,1.0177339558218939,6,-0.2839239727245056,0.26271899481353395,-0.35627783428294924,-0.15848207539709744,6,0.007546924930324088,0.03686601479530034,-0.012605042016806678,0.007537688442210921,6,-0.2914708976548297,0.26783404260813626,-0.3562704185601143,-0.17378270404327653,6,0.8333333333333334,0.3333333333333333,0.8333333333333334
492,125.75,52.75,Drought,1.0843829270164778,0.1723540153730371,0.9768908562996811,1.1730163568017882,6,1.1040707429040133,0.16377532382369503,0.9804369555904612,1.2226856679411426,6,0.923798602349066,0.18621703066698386,0.9495584693604496,1.029066892703256,6,-0.16058432466741182,0.3066958073416836,-0.313851038127285,0.04322565605064302,6,0.01968781588753536,0.05501946896081117,0.0,0.022873346597302224,6,-0.1802721405549472,0.29927462978065694,-0.31051730122732113,0.03840032121051709,6,0.6666666666666666,0.5,0.6666666666666666
