Basin_Name,Event_Type,Omitted_Model,Retained_Model_Count,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,Pooled_DIndex
CSL,Drought,h08,6,0.42163695164922127,0.15860501560653945,0.7266571110727172
CSL,Drought,hydropy,6,0.7070291781273382,0.2454710487143229,0.7422876742735635
CSL,Drought,jules-w2,6,0.6347656204917203,0.2704615538416454,0.701222453865439
CSL,Drought,lpjml5-7-10-fire,6,0.7382823207221177,0.24878519438617816,0.7479552405704661
CSL,Drought,miroc-integ-land,6,0.6975491845096725,0.2732746830430169,0.7185126033912783
CSL,Drought,watergap2-2e,6,0.7198303141434019,0.2579274560783662,0.7362051584413746
CSL,Drought,web-dhm-sg,6,0.7342909778570513,0.26655562794945975,0.7336698487030772
CSL,Flood,h08,6,0.17052588923126014,0.07484366028759357,0.6949757602996995
CSL,Flood,hydropy,6,0.24933698092713177,0.09713344859602656,0.7196486617062537
CSL,Flood,jules-w2,6,0.2638943292752507,0.10319230428354097,0.7188884180196826
CSL,Flood,lpjml5-7-10-fire,6,0.2644352002183666,0.08858290731098338,0.7490697915442804
CSL,Flood,miroc-integ-land,6,0.26644946791968777,0.09717196837058462,0.7327661169760795
CSL,Flood,watergap2-2e,6,0.24283592939298385,0.08919842952753643,0.7313578335159946
CSL,Flood,web-dhm-sg,6,0.26483482448538925,0.09420840586584632,0.7376126385291082
PSE,Drought,h08,6,0.12384866759627229,0.059352440938019196,0.6760257543588518
PSE,Drought,hydropy,6,0.12351005390601372,0.06798267085845934,0.6449856205133914
PSE,Drought,jules-w2,6,0.12007419309291355,0.07265609727186922,0.62301671867794
PSE,Drought,lpjml5-7-10-fire,6,0.12596289498747848,0.061840843554045434,0.6707155883354673
PSE,Drought,miroc-integ-land,6,0.11815049060998041,0.05192225266168268,0.6947056202959843
PSE,Drought,watergap2-2e,6,0.1268439157222813,0.06162483493015484,0.673023592946716
PSE,Drought,web-dhm-sg,6,0.1244251969466053,0.06916379963591196,0.642728663008329
PSE,Flood,h08,6,0.06074992993809214,0.03284699508008147,0.6490590361413732
PSE,Flood,hydropy,6,0.06413436490451081,0.03751424683178169,0.6309418673704558
PSE,Flood,jules-w2,6,0.06433723109542515,0.03906752547164586,0.6221883134911144
PSE,Flood,lpjml5-7-10-fire,6,0.06358530462453267,0.034405754352909525,0.6488888403499158
PSE,Flood,miroc-integ-land,6,0.0568233230139063,0.024434044917144446,0.6993005614225968
PSE,Flood,watergap2-2e,6,0.06362211789412724,0.034530616304942675,0.648195064694694
PSE,Flood,web-dhm-sg,6,0.06206999935093174,0.037273434489573806,0.6248022335384967
SWRB,Drought,h08,6,0.7622206862477442,0.05116004002208402,0.9371019765163302
SWRB,Drought,hydropy,6,0.7665543888910152,0.05202391947645668,0.9364460077372312
SWRB,Drought,jules-w2,6,0.7722716945914132,0.04978702828611895,0.9394361656891803
SWRB,Drought,lpjml5-7-10-fire,6,0.7787816624576159,0.03934307199775199,0.9519106679693006
SWRB,Drought,miroc-integ-land,6,0.2745569893123994,0.03943476356126953,0.8744082823820674
SWRB,Drought,watergap2-2e,6,0.7785025449552431,0.04822268923766598,0.9416702342650235
SWRB,Drought,web-dhm-sg,6,0.7815713313856874,0.0434460673618502,0.9473392107514268
SWRB,Flood,h08,6,0.17448182944617338,0.03953795994984527,0.8152602613925346
SWRB,Flood,hydropy,6,0.19905042207549828,0.04072273420332398,0.8301614124144523
SWRB,Flood,jules-w2,6,0.1949349524013635,0.03699506210845891,0.8404904074763806
SWRB,Flood,lpjml5-7-10-fire,6,0.19931174806914112,0.03132897508727945,0.8641654662779039
