Family,Event_Type,Definition,Basin_Name,Mean_Abs_Delta_CC_mean,Mean_Abs_Delta_CC_std,Mean_Abs_Delta_CC_min,Mean_Abs_Delta_CC_max,Mean_Abs_Delta_HA_mean,Mean_Abs_Delta_HA_std,Mean_Abs_Delta_HA_min,Mean_Abs_Delta_HA_max,DIndex_mean,DIndex_std,DIndex_min,DIndex_max,Model_Count,Pooled_DIndex,Climate_Dominant_Model_Count,Human_Dominant_Model_Count
Event_Definition,Drought,T05_D10,CSL,0.6235681938806819,0.7601467529466216,0.1683358586146315,2.2678843346502453,0.20631133008635244,0.24514836293402137,0.0469548336381932,0.7484192580089692,0.7151389818226909,0.1442739141581199,0.5114542779321175,0.9473299840187013,7,0.7513960471031602,7,0
Event_Definition,Drought,T05_D10,PSE,0.09568577671209588,0.016720103160337545,0.07262564056875995,0.1217831953655219,0.05069898501293991,0.034649210763695086,0.008399591388194795,0.11148768982151788,0.6790682902633698,0.15007520543864497,0.5220677036822425,0.9277215482653484,7,0.6536594081549884,7,0
Event_Definition,Drought,T05_D10,SWRB,0.5043395089842156,0.7433899461971053,0.16276115481378575,2.1882908520583952,0.03618227971130924,0.027290129860290772,0.009090271058246812,0.07744112099881269,0.893562723725952,0.08839547396828097,0.7550104341637948,0.9658207052203446,7,0.9330604603403125,7,0
Event_Definition,Drought,T05_D10,YHH,0.20788998661168412,0.126992629723653,0.10635154983237613,0.4382029375798425,0.2215853102601806,0.17058585321164424,0.01988087748647642,0.4627612611151829,0.5344827921287941,0.1617389025588945,0.34689818381396503,0.842505781527444,7,0.4840557492500174,4,3
Event_Definition,Drought,T05_D10,YZR,0.13152604940504936,0.04588737374591829,0.09686329433814024,0.23014857610656472,0.054263640349178174,0.033709236635902314,0.012558291409769027,0.10576586216652438,0.7211201491082512,0.13037416026789453,0.4881790946056938,0.9113631318055326,7,0.7079297542239238,6,1
Event_Definition,Drought,T05_D20,CSL,0.6647692210715033,0.6759132529220506,0.22369062316781677,2.1235628376051956,0.24586865423136123,0.2394101956817725,0.08143248136142749,0.7694504859802919,0.704109033437967,0.13720857111072424,0.49482503455605653,0.8957575658693069,7,0.7300039226354504,6,1
Event_Definition,Drought,T05_D20,PSE,0.12325934469450643,0.01868260407227604,0.10175191852785732,0.1539124692016625,0.0635061342643061,0.04196586769810181,0.008606356218927363,0.13300942388004658,0.684252877992531,0.1530732742067343,0.5364263686836598,0.9429954336031623,7,0.6599685626147693,7,0
Event_Definition,Drought,T05_D20,SWRB,0.7020656139773027,1.1318632470581977,0.2250313095269951,3.267117361966722,0.04620251142045677,0.032482124187739735,0.011274063084457268,0.08735914795668542,0.886638742226815,0.09453840122898405,0.7345743208497616,0.9741172019765086,7,0.9382540698283831,7,0
Event_Definition,Drought,T05_D20,YHH,0.26775359295902734,0.13259091282264712,0.15091034111646964,0.4719281222552624,0.27747346699873415,0.18397935475061664,0.029149655406636873,0.482437758359902,0.5362484739898947,0.15327835109718357,0.368089902770025,0.8381114296928458,7,0.49108639798576775,4,3
Event_Definition,Drought,T05_D20,YZR,0.16897221629794817,0.07319846394123038,0.11700380432386333,0.32924049033964653,0.07070868126466658,0.04296767801897893,0.017147745443697293,0.13410800389890437,0.7133080851018123,0.13778390441903657,0.46594305999368324,0.9052647252912542,7,0.7049882490272531,6,1
Event_Definition,Drought,T05_D30,CSL,0.7481067961594662,0.6454152260113067,0.27384541998004536,2.1099340364268078,0.27365054640608,0.23297268308792268,0.06341154486826309,0.7478887008054272,0.7076681497383623,0.15508157427664923,0.48517639082650327,0.9368884435189957,7,0.7321765795007975,6,1
Event_Definition,Drought,T05_D30,PSE,0.14889847868861555,0.028515187379997375,0.11854521128323196,0.20202263897444564,0.07537613744643923,0.05250383949883798,0.009131673861261977,0.16546290511338108,0.6889965723118111,0.15859500770226126,0.549743091189904,0.9481742508556023,7,0.6639114191993585,7,0
Event_Definition,Drought,T05_D30,SWRB,0.8468775302296798,1.3844804979347498,0.2716642004287116,3.984647235528263,0.06439744901119793,0.04448845866166652,0.015123505253970283,0.1264856602995076,0.8669222785923295,0.11244981176733886,0.68231645223192,0.9745766628468506,7,0.9293325829434677,7,0
Event_Definition,Drought,T05_D30,YHH,0.3227599439962786,0.1474645827984272,0.1990539285546405,0.5474518754893917,0.3414791636672069,0.22281006866867037,0.03915225630665966,0.5761257863061479,0.5311519103745874,0.16083708031131072,0.3843706070562991,0.844742973513034,7,0.48590927615149415,4,3
Event_Definition,Drought,T05_D30,YZR,0.21203748269763192,0.11000938745842478,0.13285298390926134,0.456966944800745,0.08240849629334024,0.04873721054019476,0.02024089912869017,0.14589287631832254,0.7222236520487169,0.13651710773100115,0.47660971108518946,0.9045170630446596,7,0.7201235466833564,6,1
Event_Definition,Drought,T08_D10,CSL,1.0848864774887528,1.3341205363217887,0.2399464719871726,3.9875488741413894,0.4561783332529126,0.5799461712552129,0.07111756331780807,1.6692692829409275,0.6909129730704207,0.17627585143832417,0.47993699132204415,0.9510127189011572,7,0.7039849783907736,5,2
Event_Definition,Drought,T08_D10,PSE,0.14143642736992137,0.03209567731639439,0.10110531336967772,0.2052438917188843,0.07729022228377401,0.05062968717927876,0.011229903730444142,0.14023302989334105,0.6741619760830038,0.16034562278733103,0.5136614885033852,0.9295158529317715,7,0.6466355498694569,7,0
Event_Definition,Drought,T08_D10,SWRB,1.3141555627633879,2.653691557609906,0.2159577920796546,7.328903334827666,0.051414111385317554,0.03813554190355895,0.011522494510664536,0.10325183808185304,0.8859788229587228,0.10777662220368578,0.7313254768736825,0.9861074162635611,7,0.9623496974496237,7,0
Event_Definition,Drought,T08_D10,YHH,0.48883452862689303,0.48095015166633237,0.14787737728589004,1.471612942644811,0.42979049692393295,0.3990095048234827,0.025311734803176344,1.2005285704203617,0.5607588188261704,0.16185617600824614,0.34964101150477367,0.8538491565788546,7,0.5321371778803632,5,2
Event_Definition,Drought,T08_D10,YZR,0.1801238453366195,0.06702375509306081,0.12504414519059948,0.32014942931269913,0.07832367498505335,0.043746798206915856,0.014962826442632785,0.13683430411510947,0.7063425065497168,0.13669061548605427,0.4774892532093267,0.9180115933364857,7,0.69694553506426,6,1
Event_Definition,Drought,T08_D20,CSL,1.1334230596065094,1.1400536783763122,0.29763050992892653,3.5937404959972796,0.48141148411882323,0.5340719881549552,0.0823273479303118,1.5509576569390329,0.6938297306247392,0.17986749422950116,0.46299119273235034,0.9424152932474301,7,0.7018818516179162,5,2
