Family,Event_Type,Basin_Name,Definition_Count,DIndex_Min,DIndex_Max,Crosses_0_5
Event_Definition,Drought,CSL,9,0.6661395936268681,0.7513960471031602,False
Event_Definition,Drought,PSE,9,0.6424789568075087,0.6646887938423641,False
Event_Definition,Drought,SWRB,9,0.8905427922716166,0.9637202649130373,False
Event_Definition,Drought,YHH,9,0.4494987749568897,0.5321371778803632,True
Event_Definition,Drought,YZR,9,0.6927423971632034,0.7201235466833564,False
Event_Definition,Flood,CSL,9,0.7277447755223245,0.7803251822555184,False
Event_Definition,Flood,PSE,9,0.6401468975765157,0.714814727927619,False
Event_Definition,Flood,SWRB,9,0.8346454459575073,0.9071289670862831,False
Event_Definition,Flood,YHH,9,0.517565987548896,0.6107226119044341,False
Event_Definition,Flood,YZR,9,0.7079987373594152,0.8476292483014454,False
Period_Split,Drought,CSL,3,0.7300039226354504,0.7459601441764622,False
Period_Split,Drought,PSE,3,0.6528313182239597,0.6599685626147693,False
Period_Split,Drought,SWRB,3,0.9047452945685858,0.9648642083881311,False
Period_Split,Drought,YHH,3,0.49108639798576786,0.5106794359280283,True
Period_Split,Drought,YZR,3,0.7029676238167814,0.7169395741559174,False
Period_Split,Flood,CSL,3,0.7042998098170298,0.7521925351145026,False
Period_Split,Flood,PSE,3,0.6442707094720944,0.6484756216988271,False
Period_Split,Flood,SWRB,3,0.8382052410964957,0.84700977460367,False
Period_Split,Flood,YHH,3,0.5215275733778358,0.5787587984017379,False
Period_Split,Flood,YZR,3,0.709117900058265,0.7261326049891769,False
