Grid_ID,Lon,Lat,Event_Type,FR_Natural_mean,FR_Natural_std,FR_Natural_q25,FR_Natural_q75,FR_Natural_count,FR_Historical_mean,FR_Historical_std,FR_Historical_q25,FR_Historical_q75,FR_Historical_count,FR_Factual_mean,FR_Factual_std,FR_Factual_q25,FR_Factual_q75,FR_Factual_count,Delta_Total_mean,Delta_Total_std,Delta_Total_q25,Delta_Total_q75,Delta_Total_count,Delta_HA_mean,Delta_HA_std,Delta_HA_q25,Delta_HA_q75,Delta_HA_count,Delta_CC_mean,Delta_CC_std,Delta_CC_q25,Delta_CC_q75,Delta_CC_count,Delta_Total_Sign_Agreement,Delta_HA_Sign_Agreement,Delta_CC_Sign_Agreement
355,121.25,53.25,Drought,1.074682645813733,0.21998366468518385,0.9203574203574203,1.2622857142857145,6,1.066466914625994,0.2060131464532096,0.9180083482409064,1.226968479980528,6,0.8100308191670567,0.21246615947419026,0.6837944664031621,0.9660175639557083,6,-0.26465182664667636,0.03282495312169909,-0.2802195761811414,-0.24950220150220145,6,-0.008215731187738958,0.08004324090180412,0.0,0.03296703296703285,6,-0.25643609545893736,0.0894582765229973,-0.3130686360777666,-0.22173237390628697,6,1.0,0.16666666666666666,1.0
356,121.75,53.25,Drought,1.0989125331079859,0.2165836368509715,0.9572796170721979,1.2258181818181817,6,1.1065599077401023,0.20184149201135784,0.970012190166599,1.231752305665349,6,0.740561802344127,0.20283073357121637,0.6145287395824384,0.8779685787358421,6,-0.35835073076385887,0.2225388633436047,-0.3882032979159441,-0.22525408341759726,6,0.007647374632116362,0.027502313308329123,0.0,0.019395706182981975,6,-0.36599810539597516,0.21623346366382928,-0.37194488117345104,-0.2440950736377087,6,1.0,0.5,1.0
357,122.25,53.25,Drought,0.950716141623345,0.06845235545624176,0.905795918367347,0.9921259842519685,6,0.9279208356074271,0.059448488912162846,0.8866341463414634,0.9708493885072876,6,0.7132311164196361,0.14986882550624597,0.59183229363122,0.8077452931272003,6,-0.23748502520370876,0.1196234667538954,-0.31608159166509764,-0.20935181707682485,6,-0.022795306015917744,0.06213470057164095,0.0,0.0,6,-0.214689719187791,0.14129007500396737,-0.315089577895206,-0.10473034619670593,6,1.0,0.16666666666666666,1.0
358,122.75,53.25,Drought,1.0043087052289434,0.16716670973697006,0.907563025210084,1.1341950646298473,6,1.0079384219021383,0.16998597206514024,0.907563025210084,1.1396396396396398,6,0.7126687515343352,0.13308773887316563,0.5930743315279969,0.8213943950786056,6,-0.2916399536946081,0.14832327811918228,-0.31492675929536984,-0.18596326148681777,6,0.0036297166731949306,0.008890953760200063,0.0,0.0,6,-0.29526967036780305,0.1494922535470077,-0.331260484324747,-0.18596326148681777,6,1.0,0.16666666666666666,1.0
359,123.25,53.25,Drought,1.1589811268685268,0.20429002315222752,1.0345225225225225,1.193771744320895,6,1.1826110466175572,0.20872141289948098,1.0383157894736843,1.2664269774361518,6,0.8379342784629332,0.11361085318123193,0.7418546365914787,0.9258411452656057,6,-0.3210468484055935,0.16778226761095236,-0.3524570995972673,-0.2500629232391666,6,0.023629919749030465,0.03632949188647346,0.0,0.04329251976990828,6,-0.34467676815462395,0.1555474332276461,-0.3772538157240924,-0.2500629232391666,6,1.0,0.5,1.0
360,123.75,53.25,Drought,1.0562607036480192,0.0645100921592309,1.0042735042735043,1.082311408398365,6,1.0337237773427745,0.0637902758320139,1.0,1.0548791735842096,6,0.7948875761779409,0.0983716256729452,0.7289262371615313,0.881781512605042,6,-0.2613731274700782,0.09412990175403815,-0.3255779879035693,-0.25522191713665,6,-0.02253692630524449,0.026787873027357235,-0.024995319228608953,-0.004273504273504258,6,-0.2388362011648337,0.07973275967604733,-0.2701823027679988,-0.2438604506022592,6,1.0,0.6666666666666666,1.0
361,124.25,53.25,Drought,1.1726384697715393,0.14753935896441817,1.1218825422365244,1.2525252525252526,6,1.1502370791437826,0.10302727489671998,1.1052308770700079,1.2022745440011626,6,0.7923445548482029,0.12066682559910615,0.6842134243709046,0.89466677760213,6,-0.3802939149233365,0.14079618194125337,-0.446281376336662,-0.2893061396597464,6,-0.022401390627756684,0.046982556890060576,-0.05580126357959536,0.0,6,-0.3578925242955798,0.11055076241954602,-0.42328913461680295,-0.28910056167104536,6,1.0,0.5,1.0
481,120.25,52.75,Drought,0.9804829153501098,0.14995282316314623,0.911512183324264,1.0338345864661653,6,1.0010837008349653,0.18528330537249474,0.9157687334523738,1.0338345864661653,6,0.8575961266334339,0.17825135186518828,0.7800361336946703,0.9943167466531951,6,-0.12288678871667603,0.18008029861665892,-0.2312420617940515,0.024520287070917246,6,0.020600785484855538,0.04266735668640344,0.0,0.012769650384329229,6,-0.14348757420153158,0.18623219134470106,-0.26836895351307777,0.018691541031644943,6,0.6666666666666666,0.3333333333333333,0.6666666666666666
482,120.75,52.75,Drought,1.035664454160727,0.11627216991459775,0.9696860771627127,1.1310679611650485,6,1.0391668093179567,0.12479585098380823,0.9749189395384321,1.1348274316450022,6,0.7775155927055356,0.12728050307472907,0.7200208550573515,0.8369490751313085,6,-0.2581488614551913,0.2095100819897519,-0.40701876532777315,-0.13882778368171597,6,0.0035023551572296308,0.01968095799250891,0.0,0.012597547380156143,6,-0.26165121661242097,0.2092215011614056,-0.4237872583320212,-0.15142533106187211,6,0.8333333333333334,0.3333333333333333,0.8333333333333334
483,121.25,52.75,Drought,1.0464700212520748,0.1508896125822929,0.952056952056952,1.0386711459499813,6,1.0152962963061605,0.16255360386852966,0.9326530612244899,1.0360834518729254,6,0.7368931505796407,0.16823013807366424,0.5997130559540889,0.8241379310344827,6,-0.30957687067243406,0.08943258950895018,-0.3804433010952273,-0.2526670891548494,6,-0.031173724945914433,0.04066587912096698,-0.05801933879920371,0.0,6,-0.27840314572651964,0.08245948903184379,-0.3442630080515802,-0.208108797057843,6,1.0,0.5,1.0
