Scenario,Scenario_Label,Model,Definition,Percent_FR_GT_1
countclim-histsoc,Historical,jules-w2,T05_G10,53.2172373081464
countclim-histsoc,Historical,jules-w2,T05_G20,47.992916174734354
countclim-histsoc,Historical,jules-w2,T05_G30,46.66469893742621
countclim-histsoc,Historical,jules-w2,T08_G10,57.20188902007084
countclim-histsoc,Historical,jules-w2,T08_G20,53.48288075560803
countclim-histsoc,Historical,jules-w2,T08_G30,52.36127508854782
countclim-histsoc,Historical,jules-w2,T10_G10,57.319952774498226
countclim-histsoc,Historical,jules-w2,T10_G20,56.67060212514758
countclim-histsoc,Historical,jules-w2,T10_G30,54.69303423848878
countclim-histsoc,Historical,lpjml5-7-10-fire,T05_G10,55.602536997885835
countclim-histsoc,Historical,lpjml5-7-10-fire,T05_G20,52.71317829457365
countclim-histsoc,Historical,lpjml5-7-10-fire,T05_G30,48.132487667371386
countclim-histsoc,Historical,lpjml5-7-10-fire,T08_G10,57.646229739252995
countclim-histsoc,Historical,lpjml5-7-10-fire,T08_G20,55.67300916138126
countclim-histsoc,Historical,lpjml5-7-10-fire,T08_G30,53.946441155743486
countclim-histsoc,Historical,lpjml5-7-10-fire,T10_G10,58.24524312896406
countclim-histsoc,Historical,lpjml5-7-10-fire,T10_G20,57.04721634954193
countclim-histsoc,Historical,lpjml5-7-10-fire,T10_G30,56.201550387596896
countclim-histsoc,Historical,miroc-integ-land,T05_G10,57.624901909495165
countclim-histsoc,Historical,miroc-integ-land,T05_G20,51.05937745226262
countclim-histsoc,Historical,miroc-integ-land,T05_G30,47.84200889353911
countclim-histsoc,Historical,miroc-integ-land,T08_G10,63.45801726392886
countclim-histsoc,Historical,miroc-integ-land,T08_G20,60.39759351294794
countclim-histsoc,Historical,miroc-integ-land,T08_G30,58.43578341616531
countclim-histsoc,Historical,miroc-integ-land,T10_G10,65.89066178393932
countclim-histsoc,Historical,miroc-integ-land,T10_G20,64.0596390269422
countclim-histsoc,Historical,miroc-integ-land,T10_G30,62.22861626994507
countclim-histsoc,Historical,watergap2-2e,T05_G10,66.58774006840305
countclim-histsoc,Historical,watergap2-2e,T05_G20,60.35253880557748
countclim-histsoc,Historical,watergap2-2e,T05_G30,52.85451197053407
countclim-histsoc,Historical,watergap2-2e,T08_G10,66.98237305972113
countclim-histsoc,Historical,watergap2-2e,T08_G20,64.90397263877927
countclim-histsoc,Historical,watergap2-2e,T08_G30,62.48355695869508
countclim-histsoc,Historical,watergap2-2e,T10_G10,66.1667982109971
countclim-histsoc,Historical,watergap2-2e,T10_G20,65.82478295185477
countclim-histsoc,Historical,watergap2-2e,T10_G30,64.50933964746119
countclim-histsoc,Historical,web-dhm-sg,T05_G10,55.59338521400778
countclim-histsoc,Historical,web-dhm-sg,T05_G20,50.72957198443579
countclim-histsoc,Historical,web-dhm-sg,T05_G30,49.85408560311284
countclim-histsoc,Historical,web-dhm-sg,T08_G10,50.43774319066148
countclim-histsoc,Historical,web-dhm-sg,T08_G20,49.07587548638132
countclim-histsoc,Historical,web-dhm-sg,T08_G30,47.76264591439689
countclim-histsoc,Historical,web-dhm-sg,T10_G10,47.081712062256805
countclim-histsoc,Historical,web-dhm-sg,T10_G20,46.06031128404669
countclim-histsoc,Historical,web-dhm-sg,T10_G30,45.96303501945525
obsclim-histsoc,Factual,h08,T05_G10,46.926497515040545
obsclim-histsoc,Factual,h08,T05_G20,43.89223123201674
obsclim-histsoc,Factual,h08,T05_G30,44.572325398901384
obsclim-histsoc,Factual,h08,T08_G10,48.31284331676694
obsclim-histsoc,Factual,h08,T08_G20,47.13575725869736
obsclim-histsoc,Factual,h08,T08_G30,48.835992675908976
obsclim-histsoc,Factual,h08,T10_G10,49.646874182579126
obsclim-histsoc,Factual,h08,T10_G20,48.99293748365158
obsclim-histsoc,Factual,h08,T10_G30,50.06539366989276
obsclim-histsoc,Factual,hydropy,T05_G10,60.23054755043228
obsclim-histsoc,Factual,hydropy,T05_G20,58.31805082525544
obsclim-histsoc,Factual,hydropy,T05_G30,55.98637673565627
obsclim-histsoc,Factual,hydropy,T08_G10,63.00759758973016
obsclim-histsoc,Factual,hydropy,T08_G20,59.96856169766832
obsclim-histsoc,Factual,hydropy,T08_G30,58.265653654702646
obsclim-histsoc,Factual,hydropy,T10_G10,63.217186271941316
obsclim-histsoc,Factual,hydropy,T10_G20,61.80246266701598
obsclim-histsoc,Factual,hydropy,T10_G30,59.785171600733555
obsclim-histsoc,Factual,jules-w2,T05_G10,64.01404330017554
obsclim-histsoc,Factual,jules-w2,T05_G20,50.84844938560562
obsclim-histsoc,Factual,jules-w2,T05_G30,45.845523698069044
obsclim-histsoc,Factual,jules-w2,T08_G10,66.55939145699239
obsclim-histsoc,Factual,jules-w2,T08_G20,63.07782328847279
obsclim-histsoc,Factual,jules-w2,T08_G30,55.70509069631363
obsclim-histsoc,Factual,jules-w2,T10_G10,66.12053832650673
obsclim-histsoc,Factual,jules-w2,T10_G20,64.6869514335869
obsclim-histsoc,Factual,jules-w2,T10_G30,61.790520772381505
obsclim-histsoc,Factual,lpjml5-7-10-fire,T05_G10,60.31427616181879
obsclim-histsoc,Factual,lpjml5-7-10-fire,T05_G20,54.53025743898362
obsclim-histsoc,Factual,lpjml5-7-10-fire,T05_G30,49.28117686392511
obsclim-histsoc,Factual,lpjml5-7-10-fire,T08_G10,61.785356068204614
obsclim-histsoc,Factual,lpjml5-7-10-fire,T08_G20,60.24740889334671
obsclim-histsoc,Factual,lpjml5-7-10-fire,T08_G30,56.636576395854235
obsclim-histsoc,Factual,lpjml5-7-10-fire,T10_G10,61.852223336676694
obsclim-histsoc,Factual,lpjml5-7-10-fire,T10_G20,62.05282514209295
obsclim-histsoc,Factual,lpjml5-7-10-fire,T10_G30,60.01337345369442
obsclim-histsoc,Factual,miroc-integ-land,T05_G10,60.21449123724823
obsclim-histsoc,Factual,miroc-integ-land,T05_G20,54.721422966256874
obsclim-histsoc,Factual,miroc-integ-land,T05_G30,50.771645304734506
obsclim-histsoc,Factual,miroc-integ-land,T08_G10,63.14412764844363
obsclim-histsoc,Factual,miroc-integ-land,T08_G20,59.639026942192
obsclim-histsoc,Factual,miroc-integ-land,T08_G30,56.866335338739205
obsclim-histsoc,Factual,miroc-integ-land,T10_G10,64.26889877059901
obsclim-histsoc,Factual,miroc-integ-land,T10_G20,62.908710436829715
obsclim-histsoc,Factual,miroc-integ-land,T10_G30,60.109861365419825
obsclim-histsoc,Factual,watergap2-2e,T05_G10,64.93266437813573
obsclim-histsoc,Factual,watergap2-2e,T05_G20,58.11988381304462
obsclim-histsoc,Factual,watergap2-2e,T05_G30,53.47240559809876
obsclim-histsoc,Factual,watergap2-2e,T08_G10,67.65249537892791
obsclim-histsoc,Factual,watergap2-2e,T08_G20,64.77422762080802
obsclim-histsoc,Factual,watergap2-2e,T08_G30,63.63876419329284
obsclim-histsoc,Factual,watergap2-2e,T10_G10,67.91655664114074
obsclim-histsoc,Factual,watergap2-2e,T10_G20,65.32875627145498
obsclim-histsoc,Factual,watergap2-2e,T10_G30,64.8270398732506
obsclim-histsoc,Factual,web-dhm-sg,T05_G10,54.44602948169282
obsclim-histsoc,Factual,web-dhm-sg,T05_G20,48.264384213029004
obsclim-histsoc,Factual,web-dhm-sg,T05_G30,46.02948169281978
obsclim-histsoc,Factual,web-dhm-sg,T08_G10,51.35520684736091
obsclim-histsoc,Factual,web-dhm-sg,T08_G20,48.31193533048027
obsclim-histsoc,Factual,web-dhm-sg,T08_G30,45.60152163575844
obsclim-histsoc,Factual,web-dhm-sg,T10_G10,48.502139800285306
obsclim-histsoc,Factual,web-dhm-sg,T10_G20,47.646219686162624
obsclim-histsoc,Factual,web-dhm-sg,T10_G30,45.55397051830718
