Grid_ID,Lon,Lat,FR_Natural,FR_Natural_ZeroUndefined,FR_Historical,FR_Historical_ZeroUndefined,FR_Factual,FR_Factual_ZeroUndefined,Model,Event_Type,Delta_Total,Delta_HA,Delta_CC,Delta_Total_ZeroUndefined,Delta_HA_ZeroUndefined,Delta_CC_ZeroUndefined
355,121.25,53.25,1.2857142857142858,1.288888888888889,1.3296703296703296,1.3333333333333333,1.0155038759689925,1.015625,h08,Drought,-0.2702104097452933,0.0439560439560438,-0.3141664537013371,-0.273263888888889,0.04444444444444429,-0.31770833333333326
356,121.75,53.25,1.2424242424242424,1.2448979591836735,1.2626262626262623,1.2653061224489797,1.0176991150442478,1.0178571428571428,h08,Drought,-0.22472512737999462,0.020202020202019888,-0.2449271475820145,-0.22704081632653073,0.020408163265306145,-0.24744897959183687
357,122.25,53.25,1.0,1.0,1.0,1.0,0.7841726618705036,0.782608695652174,h08,Drought,-0.2158273381294964,0.0,-0.2158273381294964,-0.21739130434782605,0.0,-0.21739130434782605
358,122.75,53.25,0.9831932773109244,0.9830508474576272,0.9831932773109244,0.9830508474576272,0.8345864661654135,0.8333333333333334,h08,Drought,-0.1486068111455109,0.0,-0.1486068111455109,-0.1497175141242938,0.0,-0.1497175141242938
359,123.25,53.25,1.09009009009009,1.0909090909090908,1.146788990825688,1.148148148148148,0.968503937007874,0.9682539682539684,h08,Drought,-0.1215861530822161,0.05669890073559802,-0.17828505381781412,-0.12265512265512246,0.05723905723905709,-0.17989417989417955
360,123.75,53.25,1.165137614678899,1.1666666666666667,1.146788990825688,1.148148148148148,0.904,0.9032258064516128,h08,Drought,-0.26113761467889895,-0.0183486238532109,-0.24278899082568806,-0.263440860215054,-0.018518518518518823,-0.24492234169653515
361,124.25,53.25,1.3870967741935485,1.391304347826087,1.3010752688172045,1.3043478260869563,0.7762237762237763,0.7746478873239436,h08,Drought,-0.6108729979697722,-0.08602150537634401,-0.5248514925934282,-0.6166564605021433,-0.0869565217391306,-0.5296999387630127
481,120.25,52.75,0.927927927927928,0.9272727272727272,0.944954128440367,0.9444444444444444,1.036036036036036,1.0363636363636364,h08,Drought,0.10810810810810789,0.01702620051243897,0.09108190759566892,0.10909090909090913,0.01717171717171717,0.09191919191919196
482,120.75,52.75,0.9813084112149532,0.981132075471698,0.9813084112149532,0.981132075471698,0.7372262773722628,0.7352941176470589,h08,Drought,-0.2440821338426904,0.0,-0.2440821338426904,-0.24583795782463913,0.0,-0.24583795782463913
483,121.25,52.75,1.3364485981308412,1.339622641509434,1.311926605504587,1.3148148148148149,0.9555555555555556,0.9552238805970148,h08,Drought,-0.38089304257528556,-0.024521992626254097,-0.35637104994903146,-0.3843987609124193,-0.02480782669461923,-0.3595909342178001
484,121.75,52.75,1.2524271844660195,1.2549019607843137,1.2524271844660195,1.2549019607843137,0.8048780487804879,0.8032786885245902,h08,Drought,-0.4475491356855317,0.0,-0.4475491356855317,-0.45162327225972354,0.0,-0.45162327225972354
485,122.25,52.75,0.8015267175572519,0.8,0.8015267175572519,0.8,0.7894736842105263,0.7878787878787878,h08,Drought,-0.012053033346725583,0.0,-0.012053033346725583,-0.0121212121212122,0.0,-0.0121212121212122
486,122.75,52.75,0.8861788617886179,0.8852459016393442,0.936,0.935483870967742,0.6689655172413793,0.6666666666666666,h08,Drought,-0.21721334454723862,0.04982113821138212,-0.26703448275862074,-0.21857923497267762,0.05023796932839775,-0.26881720430107536
487,123.25,52.75,1.3789473684210527,1.3829787234042554,1.4,1.4042553191489362,0.7482517482517482,0.7464788732394366,h08,Drought,-0.6306956201693045,0.021052631578947212,-0.6517482517482517,-0.6364998501648188,0.02127659574468077,-0.6577764459094996
488,123.75,52.75,1.2637362637362637,1.2666666666666666,1.3218390804597702,1.3255813953488371,0.944954128440367,0.9444444444444444,h08,Drought,-0.3187821352958967,0.05810281672350648,-0.3768849520194032,-0.3222222222222222,0.058914728682170514,-0.3811369509043927
489,124.25,52.75,1.2352941176470589,1.238095238095238,1.2823529411764707,1.2857142857142858,0.8434782608695652,0.8421052631578947,h08,Drought,-0.39181585677749364,0.04705882352941182,-0.43887468030690546,-0.3959899749373432,0.047619047619047894,-0.4436090225563911
490,124.75,52.75,0.8823529411764706,0.8813559322033898,0.8823529411764706,0.8813559322033898,0.8074074074074075,0.8059701492537313,h08,Drought,-0.0749455337690631,0.0,-0.0749455337690631,-0.07538578294965848,0.0,-0.07538578294965848
491,125.25,52.75,1.055045871559633,1.0555555555555556,1.036036036036036,1.0363636363636364,0.90990990990991,0.9090909090909092,h08,Drought,-0.14513596164972287,-0.01900983552359703,-0.12612612612612584,-0.1464646464646464,-0.019191919191919204,-0.1272727272727272
492,125.75,52.75,1.0610687022900764,1.0615384615384615,1.045112781954887,1.0454545454545454,1.017094017094017,1.0172413793103448,h08,Drought,-0.043974685196059404,-0.015955920335189333,-0.02801876486087007,-0.04429708222811679,-0.016083916083916128,-0.028213166144200663
611,121.25,52.25,1.1904761904761905,1.1923076923076923,1.1904761904761905,1.1923076923076923,0.8222222222222222,0.8208955223880597,h08,Drought,-0.3682539682539683,0.0,-0.3682539682539683,-0.37141216991963255,0.0,-0.37141216991963255
612,121.75,52.25,1.032,1.032258064516129,1.015748031496063,1.0158730158730158,1.0,1.0,h08,Drought,-0.03200000000000003,-0.016251968503937064,-0.015748031496062964,-0.032258064516129004,-0.016385048643113187,-0.015873015873015817
613,122.25,52.25,0.9389312977099236,0.9384615384615383,0.9236641221374046,0.9230769230769232,0.84,0.8387096774193549,h08,Drought,-0.0989312977099236,-0.015267175572518998,-0.0836641221374046,-0.09975186104218348,-0.015384615384615108,-0.08436724565756837
614,122.75,52.25,1.073394495412844,1.0740740740740742,1.055045871559633,1.0555555555555556,0.7829457364341085,0.78125,h08,Drought,-0.29044875897873557,-0.01834862385321112,-0.27210013512552444,-0.2928240740740742,-0.0185185185185186,-0.2743055555555556
615,123.25,52.25,0.9646017699115044,0.9642857142857144,0.981981981981982,0.9818181818181818,0.744,0.7419354838709677,h08,Drought,-0.22060176991150438,0.017380212070477685,-0.23798198198198206,-0.22235023041474666,0.0175324675324674,-0.23988269794721406
616,123.75,52.25,1.0186915887850467,1.018867924528302,1.0186915887850467,1.018867924528302,0.708029197080292,0.7058823529411765,h08,Drought,-0.31066239170475474,0.0,-0.31066239170475474,-0.3129855715871256,0.0,-0.3129855715871256
617,124.25,52.25,0.7952755905511811,0.7936507936507936,0.7829457364341085,0.78125,0.8449612403100775,0.84375,h08,Drought,0.04968564975889633,-0.012329854117072658,0.06201550387596899,0.05009920634920639,-0.012400793650793607,0.0625
618,124.75,52.25,0.696,0.6935483870967742,0.696,0.6935483870967742,0.7094017094017094,0.7068965517241379,h08,Drought,0.013401709401709483,0.0,0.013401709401709483,0.013348164627363657,0.0,0.013348164627363657
619,125.25,52.25,1.1142857142857143,1.1153846153846154,1.076190476190476,1.0769230769230769,0.7477477477477478,0.7454545454545455,h08,Drought,-0.36653796653796655,-0.038095238095238404,-0.32844272844272815,-0.36993006993006994,-0.03846153846153855,-0.3314685314685314
620,125.75,52.25,0.9304347826086956,0.9298245614035088,0.9813084112149532,0.981132075471698,0.7062937062937062,0.704225352112676,h08,Drought,-0.22414107631498936,0.05087362860625755,-0.2750147049212469,-0.22559920929083277,0.05130751406818923,-0.276906723359022
621,126.25,52.25,1.0,1.0,1.076190476190476,1.0769230769230769,0.7829457364341085,0.78125,h08,Drought,-0.21705426356589153,0.07619047619047592,-0.29324473975636745,-0.21875,0.07692307692307687,-0.29567307692307687
738,120.75,51.75,1.0347826086956522,1.0350877192982455,1.0521739130434782,1.0526315789473684,0.8389261744966443,0.8378378378378378,h08,Drought,-0.1958564341990079,0.017391304347825987,-0.21324773854683388,-0.19724988146040767,0.01754385964912286,-0.21479374110953053
739,121.25,51.75,1.0975609756097562,1.098360655737705,1.0661157024793388,1.0666666666666669,0.8014184397163121,0.8,h08,Drought,-0.2961425358934441,-0.03144527313041734,-0.26469726276302674,-0.298360655737705,-0.03169398907103815,-0.26666666666666683
740,121.75,51.75,1.4742268041237114,1.4791666666666667,1.4356435643564356,1.44,0.6910569105691057,0.6885245901639344,h08,Drought,-0.7831698935546058,-0.038583239767275845,-0.7445866537873299,-0.7906420765027323,-0.039166666666666794,-0.7514754098360655
741,122.25,51.75,1.3368421052631578,1.3404255319148937,1.3578947368421053,1.3617021276595744,0.6644295302013423,0.6621621621621622,h08,Drought,-0.6724125750618155,0.021052631578947434,-0.6934652066407629,-0.6782633697527315,0.02127659574468077,-0.6995399654974123
742,122.75,51.75,1.1121495327102804,1.1132075471698113,1.1121495327102804,1.1132075471698113,0.8666666666666667,0.8656716417910447,h08,Drought,-0.2454828660436137,0.0,-0.2454828660436137,-0.24753590537876657,0.0,-0.24753590537876657
743,123.25,51.75,1.0606060606060606,1.0612244897959184,1.0606060606060606,1.0612244897959184,1.0,1.0,h08,Drought,-0.06060606060606055,0.0,-0.06060606060606055,-0.061224489795918435,0.0,-0.061224489795918435
744,123.75,51.75,1.0380952380952382,1.0384615384615383,1.0380952380952382,1.0384615384615383,0.8345864661654135,0.8333333333333334,h08,Drought,-0.20350877192982464,0.0,-0.20350877192982464,-0.20512820512820495,0.0,-0.20512820512820495
745,124.25,51.75,1.0,1.0,0.9834710743801652,0.9833333333333332,0.8914728682170543,0.890625,h08,Drought,-0.10852713178294571,-0.016528925619834767,-0.09199820616311094,-0.109375,-0.01666666666666683,-0.09270833333333317
746,124.75,51.75,0.7185185185185186,0.7164179104477612,0.7185185185185186,0.7164179104477612,1.072072072072072,1.0727272727272728,h08,Drought,0.35355355355355345,0.0,0.35355355355355345,0.3563093622795116,0.0,0.3563093622795116
747,125.25,51.75,0.7345132743362832,0.7321428571428571,0.7345132743362832,0.7321428571428571,0.7593984962406015,0.7575757575757576,h08,Drought,0.0248852219043183,0.0,0.0248852219043183,0.025432900432900474,0.0,0.025432900432900474
748,125.75,51.75,0.797979797979798,0.7959183673469388,0.797979797979798,0.7959183673469388,0.7864077669902912,0.7843137254901961,h08,Drought,-0.011572030989506765,0.0,-0.011572030989506765,-0.011604641856742703,0.0,-0.011604641856742703
749,126.25,51.75,0.963302752293578,0.9629629629629628,0.963302752293578,0.9629629629629628,1.101010101010101,1.1020408163265305,h08,Drought,0.13770734871652301,0.0,0.13770734871652301,0.1390778533635677,0.0,0.1390778533635677
865,120.25,51.25,1.0952380952380951,1.0961538461538465,1.0952380952380951,1.0961538461538465,1.073394495412844,1.0740740740740742,h08,Drought,-0.02184359982525108,0.0,-0.02184359982525108,-0.022079772079772297,0.0,-0.022079772079772297
866,120.75,51.25,1.050420168067227,1.0508474576271187,1.1176470588235294,1.11864406779661,0.952755905511811,0.9523809523809524,h08,Drought,-0.09766426255541594,0.0672268907563025,-0.16489115331171844,-0.09846650524616629,0.06779661016949134,-0.16626311541565764
867,121.25,51.25,1.0336134453781514,1.0338983050847457,1.0672268907563025,1.0677966101694916,0.8345864661654135,0.8333333333333334,h08,Drought,-0.19902697921273782,0.03361344537815114,-0.23264042459088896,-0.2005649717514123,0.033898305084745894,-0.2344632768361582
868,121.75,51.25,1.091743119266055,1.0925925925925926,1.110091743119266,1.1111111111111112,1.0,1.0,h08,Drought,-0.09174311926605494,0.01834862385321112,-0.11009174311926606,-0.09259259259259256,0.0185185185185186,-0.11111111111111116
869,122.25,51.25,1.121212121212121,1.1224489795918366,1.1649484536082475,1.1666666666666667,0.9212598425196852,0.9206349206349206,h08,Drought,-0.19995227869243593,0.0437363323961264,-0.24368861108856232,-0.20181405895691606,0.04421768707483009,-0.24603174603174616
870,122.75,51.25,1.4096385542168677,1.4146341463414631,1.3855421686746987,1.3902439024390243,0.950413223140496,0.95,h08,Drought,-0.45922533107637165,-0.024096385542168974,-0.43512894553420267,-0.46463414634146316,-0.024390243902438824,-0.44024390243902434
871,123.25,51.25,1.162162162162162,1.1636363636363636,1.162162162162162,1.1636363636363636,0.8015267175572519,0.8,h08,Drought,-0.36063544460491015,0.0,-0.36063544460491015,-0.36363636363636354,0.0,-0.36363636363636354
872,123.75,51.25,1.7671232876712328,1.7777777777777777,1.72,1.7297297297297298,0.8536585365853658,0.8524590163934426,h08,Drought,-0.913464751085867,-0.04712328767123286,-0.8663414634146341,-0.9253187613843351,-0.04804804804804785,-0.8772707133362873
873,124.25,51.25,1.3614457831325302,1.3658536585365857,1.3855421686746987,1.3902439024390243,0.8015267175572519,0.8,h08,Drought,-0.5599190655752783,0.02409638554216853,-0.5840154511174468,-0.5658536585365856,0.024390243902438602,-0.5902439024390242
874,124.75,51.25,1.076190476190476,1.0769230769230769,1.0952380952380951,1.0961538461538465,0.7482517482517482,0.7464788732394366,h08,Drought,-0.3279387279387277,0.019047619047619202,-0.3469863469863469,-0.33044420368364025,0.019230769230769607,-0.34967497291440985
875,125.25,51.25,1.18018018018018,1.181818181818182,1.15929203539823,1.1607142857142858,0.6462585034013606,0.6438356164383562,h08,Drought,-0.5339216767788193,-0.020888144781950002,-0.5130335319968693,-0.5379825653798259,-0.02110389610389629,-0.5168786692759296
876,125.75,51.25,0.7714285714285715,0.7692307692307693,0.7904761904761904,0.7884615384615384,0.9469026548672568,0.9464285714285714,h08,Drought,0.1754740834386853,0.01904761904761898,0.15642646439106633,0.17719780219780212,0.019230769230769162,0.15796703296703296
877,126.25,51.25,0.900990099009901,0.9,0.9157894736842104,0.9148936170212766,0.8640776699029126,0.8627450980392157,h08,Drought,-0.03691242910698844,0.014799374674309362,-0.051711803781297805,-0.03725490196078429,0.014893617021276562,-0.052148518982060854
878,126.75,51.25,0.4193548387096774,0.4,0.5862068965517241,0.5714285714285714,0.4883720930232558,0.4761904761904761,h08,Drought,0.06901725431357841,0.1668520578420467,-0.0978348035284683,0.07619047619047609,0.17142857142857137,-0.09523809523809529
992,119.75,50.75,1.1043478260869566,1.105263157894737,1.036697247706422,1.037037037037037,0.905511811023622,0.9047619047619048,h08,Drought,-0.1988360150633346,-0.06765057838053457,-0.13118543668280003,-0.20050125313283218,-0.06822612085769997,-0.1322751322751322
993,120.25,50.75,1.051282051282051,1.0517241379310345,1.1333333333333333,1.1346153846153846,0.8782608695652174,0.8771929824561403,h08,Drought,-0.17302118171683367,0.0820512820512822,-0.2550724637681159,-0.17453115547489417,0.0828912466843501,-0.2574224021592443
994,120.75,50.75,1.073394495412844,1.0740740740740742,1.073394495412844,1.0740740740740742,1.0353982300884956,1.0357142857142858,h08,Drought,-0.03799626532434841,0.0,-0.03799626532434841,-0.03835978835978837,0.0,-0.03835978835978837
995,121.25,50.75,0.9831932773109244,0.9830508474576272,1.051282051282051,1.0517241379310345,1.1043478260869566,1.105263157894737,h08,Drought,0.12115454877603216,0.06808877397112667,0.053065774804905486,0.12221231043710978,0.06867329047340731,0.05353901996370247
996,121.75,50.75,1.0707964601769913,1.0714285714285714,1.128440366972477,1.1296296296296295,1.106194690265487,1.1071428571428572,h08,Drought,0.03539823008849563,0.0576439067954857,-0.02224567670699007,0.03571428571428581,0.05820105820105814,-0.022486772486772333
