Event_Type,Metric,Paired_Count,Pearson_R,Median_Absolute_Difference,Sign_Concordance
Drought,Delta_Total,23176,0.8750310483764479,0.11315849894746516,0.7902195174961965
Drought,Delta_HA,23176,0.4023524405302001,0.0380952380952384,0.6659236744343128
Drought,Delta_CC,23176,0.6459296594088542,0.10383374207333797,0.7748226178557437
Flood,Delta_Total,23176,0.07255252646263406,0.09834196268521679,0.6465310744305561
Flood,Delta_HA,23176,0.16175693949171352,0.0260728429810706,0.575060860156884
Flood,Delta_CC,23176,-0.02050426052820947,0.08972117695945456,0.6386803979752138
