Basin_Name,Event_Type,Omitted_Model,Pooled_DIndex_ScenarioSpecific,Pooled_DIndex_CommonReference,DIndex_Difference
CSL,Drought,h08,0.7266571110727172,0.7063431373834986,-0.020313973689218612
CSL,Drought,hydropy,0.7422876742735635,0.6698039314775152,-0.0724837427960483
CSL,Drought,jules-w2,0.701222453865439,0.6159423109640491,-0.08528014290138997
CSL,Drought,lpjml5-7-10-fire,0.7479552405704661,0.6648816437194408,-0.08307359685102533
CSL,Drought,miroc-integ-land,0.7185126033912783,0.6423648928261606,-0.07614771056511771
CSL,Drought,watergap2-2e,0.7362051584413746,0.6618682743535319,-0.07433688408784267
CSL,Drought,web-dhm-sg,0.7336698487030772,0.6559939857979404,-0.07767586290513673
CSL,Flood,h08,0.6949757602996995,0.7539702406608846,0.05899448036118504
CSL,Flood,hydropy,0.7196486617062537,0.7253324307207547,0.005683769014500961
CSL,Flood,jules-w2,0.7188884180196826,0.726555091658205,0.007666673638522359
CSL,Flood,lpjml5-7-10-fire,0.7490697915442804,0.761663973056302,0.012594181512021518
CSL,Flood,miroc-integ-land,0.7327661169760795,0.734776164663252,0.0020100476871725004
CSL,Flood,watergap2-2e,0.7313578335159946,0.746203187179442,0.014845353663447414
CSL,Flood,web-dhm-sg,0.7376126385291082,0.7495110545797797,0.011898416050671545
PSE,Drought,h08,0.6760257543588518,0.6580266710326179,-0.0179990833262339
PSE,Drought,hydropy,0.6449856205133914,0.6324702241009208,-0.01251539641247057
PSE,Drought,jules-w2,0.62301671867794,0.6149280196213885,-0.008088699056551407
PSE,Drought,lpjml5-7-10-fire,0.6707155883354673,0.6467265046380477,-0.02398908369741959
PSE,Drought,miroc-integ-land,0.6947056202959843,0.68689817070052,-0.007807449595464311
PSE,Drought,watergap2-2e,0.673023592946716,0.6577139716895894,-0.015309621257126538
PSE,Drought,web-dhm-sg,0.642728663008329,0.6248717435468237,-0.01785691946150525
PSE,Flood,h08,0.6490590361413732,0.6306661786244055,-0.01839285751696762
PSE,Flood,hydropy,0.6309418673704558,0.6156715854387762,-0.015270281931679563
PSE,Flood,jules-w2,0.6221883134911144,0.6080261855902133,-0.0141621279009011
PSE,Flood,lpjml5-7-10-fire,0.6488888403499158,0.6344624041667746,-0.014426436183141211
PSE,Flood,miroc-integ-land,0.6993005614225968,0.7160768231437541,0.016776261721157315
PSE,Flood,watergap2-2e,0.648195064694694,0.6379278339101476,-0.010267230784546388
PSE,Flood,web-dhm-sg,0.6248022335384967,0.6124127801701398,-0.01238945336835695
SWRB,Drought,h08,0.9371019765163302,0.9229902640225864,-0.014111712493743767
SWRB,Drought,hydropy,0.9364460077372312,0.9200575814764292,-0.016388426260801947
SWRB,Drought,jules-w2,0.9394361656891804,0.9218920455023176,-0.0175441201868628
SWRB,Drought,lpjml5-7-10-fire,0.9519106679693006,0.93485615454621,-0.01705451342309061
SWRB,Drought,miroc-integ-land,0.8744082823820674,0.8579148495567435,-0.016493432825323895
SWRB,Drought,watergap2-2e,0.9416702342650236,0.9274182903886938,-0.014251943876329776
SWRB,Drought,web-dhm-sg,0.9473392107514268,0.9346931385389609,-0.012646072212465942
SWRB,Flood,h08,0.8152602613925346,0.8483930807639927,0.03313281937145807
SWRB,Flood,hydropy,0.8301614124144523,0.850383853719258,0.02022244130480566
SWRB,Flood,jules-w2,0.8404904074763806,0.8518623531528423,0.011371945676461714
SWRB,Flood,lpjml5-7-10-fire,0.8641654662779039,0.8842015259010879,0.020036059623184
SWRB,Flood,miroc-integ-land,0.8352510621130663,0.8776912591291137,0.0424401970160474
SWRB,Flood,watergap2-2e,0.8386422368787738,0.8598024296962221,0.021160192817448298
SWRB,Flood,web-dhm-sg,0.8560780013816728,0.8749255743005888,0.018847572918916033
YHH,Drought,h08,0.4877718731049494,0.4830078992938917,-0.004763973811057698
YHH,Drought,hydropy,0.4870100157862514,0.4861568908548828,-0.0008531249313686318
YHH,Drought,jules-w2,0.4739037167171132,0.4670000352881322,-0.006903681428980957
YHH,Drought,lpjml5-7-10-fire,0.5067488232699935,0.4848811377299366,-0.021867685540056914
YHH,Drought,miroc-integ-land,0.4978525720798724,0.4786337132198737,-0.01921885885999869
YHH,Drought,watergap2-2e,0.5063280352308509,0.4762449908912529,-0.03008304433959802
YHH,Drought,web-dhm-sg,0.4819271195452503,0.470483361101789,-0.011443758443461294
YHH,Flood,h08,0.5307560086160662,0.5410105049834362,0.01025449636736997
YHH,Flood,hydropy,0.5222261333218803,0.5434724795895988,0.021246346267718486
YHH,Flood,jules-w2,0.5126700579447726,0.5284053018925967,0.015735243947824107
YHH,Flood,lpjml5-7-10-fire,0.5415592404887973,0.5658295935270953,0.024270353038297943
YHH,Flood,miroc-integ-land,0.5516097606975212,0.5673010872273462,0.015691326529824967
YHH,Flood,watergap2-2e,0.5314422394204259,0.5445307309690532,0.013088491548627346
YHH,Flood,web-dhm-sg,0.5197128816037716,0.5393133103719715,0.019600428768199896
YZR,Drought,h08,0.7149207296344904,0.7131794426623218,-0.0017412869721685764
YZR,Drought,hydropy,0.6913328491160017,0.7016899604801901,0.010357111364188376
YZR,Drought,jules-w2,0.6807682967579963,0.6919574723871184,0.011189175629122028
YZR,Drought,lpjml5-7-10-fire,0.7470636574243297,0.7467505239938647,-0.00031313343046501796
YZR,Drought,miroc-integ-land,0.6912788584550916,0.7084441899672189,0.01716533151212729
YZR,Drought,watergap2-2e,0.7071385167788939,0.7159099955390759,0.008771478760181917
YZR,Drought,web-dhm-sg,0.7024452562396504,0.7109224605324022,0.008477204292751783
YZR,Flood,h08,0.6959983055241115,0.7183633732958203,0.02236506777170888
YZR,Flood,hydropy,0.7043829375229792,0.7095968006494918,0.005213863126512619
YZR,Flood,jules-w2,0.6997410963201707,0.7014528051525654,0.0017117088323946872
YZR,Flood,lpjml5-7-10-fire,0.7459023848014732,0.7531724589443743,0.007270074142901151
