Scenario,Scenario_Label,Model,Definition,Percent_FR_GT_1
countclim-histsoc,Historical,jules-w2,T05_D10,48.566413107080166
countclim-histsoc,Historical,jules-w2,T05_D20,46.43066120538327
countclim-histsoc,Historical,jules-w2,T05_D30,47.39613809245173
countclim-histsoc,Historical,jules-w2,T08_D10,47.308367466354596
countclim-histsoc,Historical,jules-w2,T08_D20,44.67524868344061
countclim-histsoc,Historical,jules-w2,T08_D30,47.8642480983031
countclim-histsoc,Historical,jules-w2,T10_D10,45.26038619075482
countclim-histsoc,Historical,jules-w2,T10_D20,44.52896430661205
countclim-histsoc,Historical,jules-w2,T10_D30,47.103569338794614
countclim-histsoc,Historical,lpjml5-7-10-fire,T05_D10,43.93179538615847
countclim-histsoc,Historical,lpjml5-7-10-fire,T05_D20,45.20227348712805
countclim-histsoc,Historical,lpjml5-7-10-fire,T05_D30,44.80106987629555
countclim-histsoc,Historical,lpjml5-7-10-fire,T08_D10,46.004680708793046
countclim-histsoc,Historical,lpjml5-7-10-fire,T08_D20,46.43931795386159
countclim-histsoc,Historical,lpjml5-7-10-fire,T08_D30,46.80708793045804
countclim-histsoc,Historical,lpjml5-7-10-fire,T10_D10,46.50618522233367
countclim-histsoc,Historical,lpjml5-7-10-fire,T10_D20,45.87094617184888
countclim-histsoc,Historical,lpjml5-7-10-fire,T10_D30,47.40889334670679
countclim-histsoc,Historical,miroc-integ-land,T05_D10,36.568140204028246
countclim-histsoc,Historical,miroc-integ-land,T05_D20,37.03897462725608
countclim-histsoc,Historical,miroc-integ-land,T05_D30,38.45147789693958
countclim-histsoc,Historical,miroc-integ-land,T08_D10,37.719068794140725
countclim-histsoc,Historical,miroc-integ-land,T08_D20,37.82369866596913
countclim-histsoc,Historical,miroc-integ-land,T08_D30,37.719068794140725
countclim-histsoc,Historical,miroc-integ-land,T10_D10,36.646612607899556
countclim-histsoc,Historical,miroc-integ-land,T10_D20,35.46952654982998
countclim-histsoc,Historical,miroc-integ-land,T10_D30,35.49568401778708
countclim-histsoc,Historical,watergap2-2e,T05_D10,35.99155003960919
countclim-histsoc,Historical,watergap2-2e,T05_D20,34.82968048587272
countclim-histsoc,Historical,watergap2-2e,T05_D30,34.30155796144705
countclim-histsoc,Historical,watergap2-2e,T08_D10,33.852653815685244
countclim-histsoc,Historical,watergap2-2e,T08_D20,33.19250066015316
countclim-histsoc,Historical,watergap2-2e,T08_D30,34.77686823343016
countclim-histsoc,Historical,watergap2-2e,T10_D10,33.61499867969369
countclim-histsoc,Historical,watergap2-2e,T10_D20,33.00765777660417
countclim-histsoc,Historical,watergap2-2e,T10_D30,34.011090573012936
countclim-histsoc,Historical,web-dhm-sg,T05_D10,47.12315739419876
countclim-histsoc,Historical,web-dhm-sg,T05_D20,49.78601997146933
countclim-histsoc,Historical,web-dhm-sg,T05_D30,50.16642891107941
countclim-histsoc,Historical,web-dhm-sg,T08_D10,45.07845934379458
countclim-histsoc,Historical,web-dhm-sg,T08_D20,49.97622444127437
countclim-histsoc,Historical,web-dhm-sg,T08_D30,50.641940085592005
countclim-histsoc,Historical,web-dhm-sg,T10_D10,43.12886352829292
countclim-histsoc,Historical,web-dhm-sg,T10_D20,50.59438896814075
countclim-histsoc,Historical,web-dhm-sg,T10_D30,50.879695672848314
obsclim-histsoc,Factual,h08,T05_D10,53.596651844101494
obsclim-histsoc,Factual,h08,T05_D20,52.2364635103322
obsclim-histsoc,Factual,h08,T05_D30,54.224431075071934
obsclim-histsoc,Factual,h08,T08_D10,54.69526549829976
obsclim-histsoc,Factual,h08,T08_D20,54.93068270991368
obsclim-histsoc,Factual,h08,T08_D30,56.16008370389747
obsclim-histsoc,Factual,h08,T10_D10,55.32304472927021
obsclim-histsoc,Factual,h08,T10_D20,55.558461940884115
obsclim-histsoc,Factual,h08,T10_D30,56.89249280669632
obsclim-histsoc,Factual,hydropy,T05_D10,40.03143830233167
obsclim-histsoc,Factual,hydropy,T05_D20,41.36756615142782
obsclim-histsoc,Factual,hydropy,T05_D30,41.26277181032224
obsclim-histsoc,Factual,hydropy,T08_D10,38.485721771024366
obsclim-histsoc,Factual,hydropy,T08_D20,40.52921142258318
obsclim-histsoc,Factual,hydropy,T08_D30,40.4244170814776
obsclim-histsoc,Factual,hydropy,T10_D10,39.376473670421795
obsclim-histsoc,Factual,hydropy,T10_D20,40.26722556981923
