Family,Event_Type,Definition,Model,Basin_Name,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,DIndex,Valid_Grid_Count
Event_Definition,Drought,T05_D10,h08,CSL,2.983280124256506,1.9552614658680063,0.6040811988345106,1987
Event_Definition,Drought,T05_D10,h08,PSE,0.11711926569943096,0.08258387596979079,0.5864668162978699,271
Event_Definition,Drought,T05_D10,h08,SWRB,0.37089922659924657,0.02258619273261603,0.9425996704758023,314
Event_Definition,Drought,T05_D10,h08,YHH,1.4604833775637527,1.5433477725689262,0.4862068820010883,576
Event_Definition,Drought,T05_D10,h08,YZR,0.22228192794009333,0.0962144125925136,0.6979104612893867,675
Event_Definition,Drought,T05_D10,hydropy,CSL,0.3467612116373819,0.2920442283609353,0.5428275808645201,1986
Event_Definition,Drought,T05_D10,hydropy,PSE,0.10484254393670807,0.03722781978125326,0.7379620998566733,271
Event_Definition,Drought,T05_D10,hydropy,SWRB,0.3098542453496256,0.01194232581379518,0.9628885858832523,312
Event_Definition,Drought,T05_D10,hydropy,YHH,0.14763105324420517,0.2329268330043736,0.38793323848707,576
Event_Definition,Drought,T05_D10,hydropy,YZR,0.14599785030942342,0.03828169927008528,0.7922628997225306,672
Event_Definition,Drought,T05_D10,jules-w2,CSL,0.9761680650378763,0.05398282438543256,0.9475971676191506,1586
Event_Definition,Drought,T05_D10,jules-w2,PSE,0.10181546879791468,0.007196477009981409,0.933984510076875,271
Event_Definition,Drought,T05_D10,jules-w2,SWRB,0.2836609327578332,0.017236452299475565,0.9427165101611211,314
Event_Definition,Drought,T05_D10,jules-w2,YHH,0.09622539757298508,0.01614167418033719,0.8563487156115204,572
Event_Definition,Drought,T05_D10,jules-w2,YZR,0.1364541554990441,0.012025781226090463,0.9190073656324859,675
Event_Definition,Drought,T05_D10,lpjml5-7-10-fire,CSL,0.1726454939273111,0.17093143032238534,0.5024944393583314,1385
Event_Definition,Drought,T05_D10,lpjml5-7-10-fire,PSE,0.08423804256362437,0.05481855814195252,0.6057824090061047,271
