Scenario,Scenario_Label,Model,Definition,Percent_FR_GT_1
countclim-histsoc,Historical,jules-w2,T05_G10,43.09537741369221
countclim-histsoc,Historical,jules-w2,T05_G20,40.60854300760679
countclim-histsoc,Historical,jules-w2,T05_G30,40.46225863077823
countclim-histsoc,Historical,jules-w2,T08_G10,43.358689291983616
countclim-histsoc,Historical,jules-w2,T08_G20,40.9011117612639
countclim-histsoc,Historical,jules-w2,T08_G30,40.49151550614394
countclim-histsoc,Historical,jules-w2,T10_G10,45.55295494441194
countclim-histsoc,Historical,jules-w2,T10_G20,43.12463428905793
countclim-histsoc,Historical,jules-w2,T10_G30,42.94909303686366
countclim-histsoc,Historical,lpjml5-7-10-fire,T05_G10,50.65195586760281
countclim-histsoc,Historical,lpjml5-7-10-fire,T05_G20,47.275158809762615
countclim-histsoc,Historical,lpjml5-7-10-fire,T05_G30,43.89836175192243
countclim-histsoc,Historical,lpjml5-7-10-fire,T08_G10,53.226345703778
countclim-histsoc,Historical,lpjml5-7-10-fire,T08_G20,51.8555667001003
countclim-histsoc,Historical,lpjml5-7-10-fire,T08_G30,49.14744232698094
countclim-histsoc,Historical,lpjml5-7-10-fire,T10_G10,54.062186559679034
countclim-histsoc,Historical,lpjml5-7-10-fire,T10_G20,53.995319291206954
countclim-histsoc,Historical,lpjml5-7-10-fire,T10_G30,51.92243396857238
countclim-histsoc,Historical,miroc-integ-land,T05_G10,44.41538059115878
countclim-histsoc,Historical,miroc-integ-land,T05_G20,42.74130264190427
countclim-histsoc,Historical,miroc-integ-land,T05_G30,41.53805911587759
countclim-histsoc,Historical,miroc-integ-land,T08_G10,46.97881245095475
countclim-histsoc,Historical,miroc-integ-land,T08_G20,44.41538059115878
countclim-histsoc,Historical,miroc-integ-land,T08_G30,44.990844886215015
countclim-histsoc,Historical,miroc-integ-land,T10_G10,48.39131572063825
countclim-histsoc,Historical,miroc-integ-land,T10_G20,46.220245880198796
countclim-histsoc,Historical,miroc-integ-land,T10_G30,46.063301072456184
countclim-histsoc,Historical,watergap2-2e,T05_G10,49.51148666490626
countclim-histsoc,Historical,watergap2-2e,T05_G20,44.17744916820702
countclim-histsoc,Historical,watergap2-2e,T05_G30,41.19355690520201
countclim-histsoc,Historical,watergap2-2e,T08_G10,53.65724848164775
countclim-histsoc,Historical,watergap2-2e,T08_G20,49.854766305782945
countclim-histsoc,Historical,watergap2-2e,T08_G30,46.23712701346712
countclim-histsoc,Historical,watergap2-2e,T10_G10,56.429891734882496
countclim-histsoc,Historical,watergap2-2e,T10_G20,52.68022181146026
countclim-histsoc,Historical,watergap2-2e,T10_G30,49.854766305782945
countclim-histsoc,Historical,web-dhm-sg,T05_G10,50.023775558725625
countclim-histsoc,Historical,web-dhm-sg,T05_G20,44.84070375653828
countclim-histsoc,Historical,web-dhm-sg,T05_G30,43.699476937708035
countclim-histsoc,Historical,web-dhm-sg,T08_G10,43.88968140751307
countclim-histsoc,Historical,web-dhm-sg,T08_G20,41.98763670946267
countclim-histsoc,Historical,web-dhm-sg,T08_G30,40.08559201141227
countclim-histsoc,Historical,web-dhm-sg,T10_G10,42.65335235378031
countclim-histsoc,Historical,web-dhm-sg,T10_G20,39.70518307180219
countclim-histsoc,Historical,web-dhm-sg,T10_G30,39.039467427484546
obsclim-histsoc,Factual,h08,T05_G10,46.926497515040545
obsclim-histsoc,Factual,h08,T05_G20,43.89223123201674
obsclim-histsoc,Factual,h08,T05_G30,44.572325398901384
obsclim-histsoc,Factual,h08,T08_G10,48.31284331676694
obsclim-histsoc,Factual,h08,T08_G20,47.13575725869736
obsclim-histsoc,Factual,h08,T08_G30,48.835992675908976
obsclim-histsoc,Factual,h08,T10_G10,49.646874182579126
obsclim-histsoc,Factual,h08,T10_G20,48.99293748365158
obsclim-histsoc,Factual,h08,T10_G30,50.06539366989276
obsclim-histsoc,Factual,hydropy,T05_G10,60.23054755043228
obsclim-histsoc,Factual,hydropy,T05_G20,58.31805082525544
obsclim-histsoc,Factual,hydropy,T05_G30,55.98637673565627
obsclim-histsoc,Factual,hydropy,T08_G10,63.00759758973016
obsclim-histsoc,Factual,hydropy,T08_G20,59.96856169766832
obsclim-histsoc,Factual,hydropy,T08_G30,58.265653654702646
obsclim-histsoc,Factual,hydropy,T10_G10,63.217186271941316
obsclim-histsoc,Factual,hydropy,T10_G20,61.80246266701598
obsclim-histsoc,Factual,hydropy,T10_G30,59.785171600733555
obsclim-histsoc,Factual,jules-w2,T05_G10,64.01404330017554
obsclim-histsoc,Factual,jules-w2,T05_G20,50.84844938560562
obsclim-histsoc,Factual,jules-w2,T05_G30,45.845523698069044
obsclim-histsoc,Factual,jules-w2,T08_G10,66.55939145699239
obsclim-histsoc,Factual,jules-w2,T08_G20,63.07782328847279
obsclim-histsoc,Factual,jules-w2,T08_G30,55.70509069631363
obsclim-histsoc,Factual,jules-w2,T10_G10,66.12053832650673
obsclim-histsoc,Factual,jules-w2,T10_G20,64.6869514335869
obsclim-histsoc,Factual,jules-w2,T10_G30,61.790520772381505
obsclim-histsoc,Factual,lpjml5-7-10-fire,T05_G10,60.31427616181879
obsclim-histsoc,Factual,lpjml5-7-10-fire,T05_G20,54.53025743898362
obsclim-histsoc,Factual,lpjml5-7-10-fire,T05_G30,49.28117686392511
obsclim-histsoc,Factual,lpjml5-7-10-fire,T08_G10,61.785356068204614
obsclim-histsoc,Factual,lpjml5-7-10-fire,T08_G20,60.24740889334671
obsclim-histsoc,Factual,lpjml5-7-10-fire,T08_G30,56.636576395854235
obsclim-histsoc,Factual,lpjml5-7-10-fire,T10_G10,61.852223336676694
obsclim-histsoc,Factual,lpjml5-7-10-fire,T10_G20,62.05282514209295
obsclim-histsoc,Factual,lpjml5-7-10-fire,T10_G30,60.01337345369442
obsclim-histsoc,Factual,miroc-integ-land,T05_G10,60.21449123724823
obsclim-histsoc,Factual,miroc-integ-land,T05_G20,54.721422966256874
obsclim-histsoc,Factual,miroc-integ-land,T05_G30,50.771645304734506
obsclim-histsoc,Factual,miroc-integ-land,T08_G10,63.14412764844363
obsclim-histsoc,Factual,miroc-integ-land,T08_G20,59.639026942192
obsclim-histsoc,Factual,miroc-integ-land,T08_G30,56.866335338739205
obsclim-histsoc,Factual,miroc-integ-land,T10_G10,64.26889877059901
obsclim-histsoc,Factual,miroc-integ-land,T10_G20,62.908710436829715
obsclim-histsoc,Factual,miroc-integ-land,T10_G30,60.109861365419825
obsclim-histsoc,Factual,watergap2-2e,T05_G10,64.93266437813573
obsclim-histsoc,Factual,watergap2-2e,T05_G20,58.11988381304462
obsclim-histsoc,Factual,watergap2-2e,T05_G30,53.47240559809876
obsclim-histsoc,Factual,watergap2-2e,T08_G10,67.65249537892791
obsclim-histsoc,Factual,watergap2-2e,T08_G20,64.77422762080802
obsclim-histsoc,Factual,watergap2-2e,T08_G30,63.63876419329284
obsclim-histsoc,Factual,watergap2-2e,T10_G10,67.91655664114074
obsclim-histsoc,Factual,watergap2-2e,T10_G20,65.32875627145498
obsclim-histsoc,Factual,watergap2-2e,T10_G30,64.8270398732506
obsclim-histsoc,Factual,web-dhm-sg,T05_G10,54.44602948169282
obsclim-histsoc,Factual,web-dhm-sg,T05_G20,48.264384213029004
obsclim-histsoc,Factual,web-dhm-sg,T05_G30,46.02948169281978
obsclim-histsoc,Factual,web-dhm-sg,T08_G10,51.35520684736091
obsclim-histsoc,Factual,web-dhm-sg,T08_G20,48.31193533048027
obsclim-histsoc,Factual,web-dhm-sg,T08_G30,45.60152163575844
obsclim-histsoc,Factual,web-dhm-sg,T10_G10,48.502139800285306
obsclim-histsoc,Factual,web-dhm-sg,T10_G20,47.646219686162624
obsclim-histsoc,Factual,web-dhm-sg,T10_G30,45.55397051830718
