Family,Event_Type,Basin_Name,Definition_Count,DIndex_Min,DIndex_Max,Crosses_0_5
Event_Definition,Drought,CSL,9,0.648677650210208,0.6970538347663856,False
Event_Definition,Drought,PSE,9,0.6239991439178588,0.6587656655673815,False
Event_Definition,Drought,SWRB,9,0.9196525066480123,0.9607325565191027,False
Event_Definition,Drought,YHH,9,0.4588590192544316,0.4775758679838327,False
Event_Definition,Drought,YZR,9,0.6749364947004449,0.7280199783118241,False
Event_Definition,Flood,CSL,9,0.7266823221019358,0.7582095679076996,False
Event_Definition,Flood,PSE,9,0.6319428854971849,0.6877163715839427,False
Event_Definition,Flood,SWRB,9,0.8467221224573408,0.8703099201712039,False
Event_Definition,Flood,YHH,9,0.4593628786547324,0.5548474448401428,True
Event_Definition,Flood,YZR,9,0.7189525735049606,0.7258547523320495,False
Period_Split,Drought,CSL,3,0.6307429117816947,0.6771524462521993,False
Period_Split,Drought,PSE,3,0.6348659191642997,0.651316139658613,False
Period_Split,Drought,SWRB,3,0.8810019720281528,0.957481863086574,False
Period_Split,Drought,YHH,3,0.4531767890761815,0.49562408036061667,False
Period_Split,Drought,YZR,3,0.7078975641927998,0.7261899392382178,False
Period_Split,Flood,CSL,3,0.7314624245227803,0.7430766478414473,False
Period_Split,Flood,PSE,3,0.6275645678106565,0.6338620658429247,False
Period_Split,Flood,SWRB,3,0.8595003965627253,0.8721864352109252,False
Period_Split,Flood,YHH,3,0.5330332568921198,0.5533392203423267,False
Period_Split,Flood,YZR,3,0.7235256423463774,0.7353350607279081,False
