Basin_Name,Event_Type,Omitted_Model,Retained_Model_Count,Mean_Abs_Delta_CC,Mean_Abs_Delta_HA,Pooled_DIndex
CSL,Drought,h08,6,0.42959787091595686,0.17860209334972985,0.7063431373834986
CSL,Drought,hydropy,6,0.8143289290352778,0.40144316599999047,0.6698039314775152
CSL,Drought,jules-w2,6,0.7203413416770871,0.4491534776504515,0.6159423109640491
CSL,Drought,lpjml5-7-10-fire,6,0.8403220246720181,0.4235450599584723,0.6648816437194408
CSL,Drought,miroc-integ-land,6,0.7882785970354854,0.43887221061117815,0.6423648928261606
CSL,Drought,watergap2-2e,6,0.8157897204644877,0.4167662911698451,0.6618682743535319
CSL,Drought,web-dhm-sg,6,0.836279670301991,0.4385485878942393,0.6559939857979404
CSL,Flood,h08,6,0.22510748662059019,0.07345534050541762,0.7539702406608846
CSL,Flood,hydropy,6,0.3047122303506022,0.11538787471131136,0.7253324307207547
CSL,Flood,jules-w2,6,0.3147942277353906,0.1184753637238624,0.726555091658205
CSL,Flood,lpjml5-7-10-fire,6,0.32764421793578163,0.1025247667164073,0.761663973056302
CSL,Flood,miroc-integ-land,6,0.3057419423309949,0.11036020827580445,0.734776164663252
CSL,Flood,watergap2-2e,6,0.29922151072519415,0.10177049234600068,0.746203187179442
CSL,Flood,web-dhm-sg,6,0.3301205165418784,0.11032731211218126,0.7495110545797797
PSE,Drought,h08,6,0.12991631668161882,0.06751689142489418,0.6580266710326179
PSE,Drought,hydropy,6,0.1321879369628888,0.07681468786549538,0.6324702241009208
PSE,Drought,jules-w2,6,0.13230505585639044,0.08285029832286897,0.6149280196213885
PSE,Drought,lpjml5-7-10-fire,6,0.13397739908657078,0.07318497654786169,0.6467265046380477
PSE,Drought,miroc-integ-land,6,0.12109438909482008,0.05519722771255076,0.68689817070052
PSE,Drought,watergap2-2e,6,0.13294436839893195,0.0691866096878093,0.6577139716895894
PSE,Drought,web-dhm-sg,6,0.13318845658787123,0.07995681356290008,0.6248717435468237
PSE,Flood,h08,6,0.07593425678860483,0.04446899197008216,0.6306661786244055
PSE,Flood,hydropy,6,0.0791065381866754,0.04938166893156903,0.6156715854387762
PSE,Flood,jules-w2,6,0.07968911821375398,0.05137286579668706,0.6080261855902133
PSE,Flood,lpjml5-7-10-fire,6,0.07936194324718199,0.04572339313520976,0.6344624041667746
PSE,Flood,miroc-integ-land,6,0.07199932442993824,0.028547603082452713,0.7160768231437541
PSE,Flood,watergap2-2e,6,0.07941557814006424,0.04507433109197273,0.6379278339101476
PSE,Flood,web-dhm-sg,6,0.07821792998537787,0.04950300027288265,0.6124127801701398
SWRB,Drought,h08,6,0.7963489508725418,0.06644341207382866,0.9229902640225865
SWRB,Drought,hydropy,6,0.8132108028999702,0.07065866274260349,0.9200575814764292
SWRB,Drought,jules-w2,6,0.826002584881724,0.06998365223962395,0.9218920455023175
SWRB,Drought,lpjml5-7-10-fire,6,0.835152949555486,0.05819619886069877,0.9348561545462101
SWRB,Drought,miroc-integ-land,6,0.31466410755584673,0.052113676647822633,0.8579148495567435
SWRB,Drought,watergap2-2e,6,0.8249797126300452,0.06456465066290293,0.9274182903886938
SWRB,Drought,web-dhm-sg,6,0.8390147678590228,0.058621828864587416,0.9346931385389609
SWRB,Flood,h08,6,0.2521878215832682,0.04506568896654522,0.8483930807639927
SWRB,Flood,hydropy,6,0.26765642417390434,0.04709134885033194,0.850383853719258
SWRB,Flood,jules-w2,6,0.26019298740646923,0.045247188982902226,0.8518623531528423
SWRB,Flood,lpjml5-7-10-fire,6,0.281550603243711,0.036872963099700805,0.8842015259010879
SWRB,Flood,miroc-integ-land,6,0.21846650469622894,0.030443920722615512,0.8776912591291137
SWRB,Flood,watergap2-2e,6,0.2641290647682859,0.04306832808114541,0.8598024296962221
SWRB,Flood,web-dhm-sg,6,0.284329753818437,0.04064617804380031,0.8749255743005888
YHH,Drought,h08,6,0.2280929256431129,0.24414143320808082,0.48300789929389176
YHH,Drought,hydropy,6,0.4322568700826826,0.45687352838308914,0.4861568908548828
YHH,Drought,jules-w2,6,0.4407064841893211,0.5029904127871676,0.4670000352881322
YHH,Drought,lpjml5-7-10-fire,6,0.43673883110196754,0.46397434810447385,0.4848811377299366
YHH,Drought,miroc-integ-land,6,0.4065474279031067,0.4428441144689783,0.4786337132198737
YHH,Drought,watergap2-2e,6,0.39665712927641583,0.4362274928465486,0.47624499089125294
YHH,Drought,web-dhm-sg,6,0.4367826025129464,0.4915873221748865,0.47048336110178907
YHH,Flood,h08,6,0.11932165754858216,0.10123165232150139,0.5410105049834362
YHH,Flood,hydropy,6,0.14659443959607651,0.12314219859906585,0.5434724795895988
YHH,Flood,jules-w2,6,0.15075205764006272,0.13454420471785072,0.5284053018925967
YHH,Flood,lpjml5-7-10-fire,6,0.14888883076534495,0.11424486260909904,0.5658295935270953
YHH,Flood,miroc-integ-land,6,0.13443434174647298,0.10253742646132942,0.5673010872273462
YHH,Flood,watergap2-2e,6,0.1396563546391987,0.11681467022043525,0.5445307309690532
YHH,Flood,web-dhm-sg,6,0.14793175627624308,0.12636474898562888,0.5393133103719715
YZR,Drought,h08,6,0.18790623996525038,0.07557056366188496,0.7131794426623218
YZR,Drought,hydropy,6,0.20692612432638283,0.08797067622749188,0.7016899604801901
YZR,Drought,jules-w2,6,0.20897024306472275,0.09302843662843262,0.6919574723871184
YZR,Drought,lpjml5-7-10-fire,6,0.21512447858717923,0.07295630833563876,0.7467505239938647
