Event_Type,Metric,Paired_Count,Pearson_R,Median_Absolute_Difference,Sign_Concordance
Drought,Delta_Total_mean,3823,0.8822549588587788,0.087964291408624,0.8022495422443108
Drought,Delta_HA_mean,3823,0.3917404969774868,0.038855969806581694,0.6505405405405406
Drought,Delta_CC_mean,3823,0.6684974745109831,0.08671934053714281,0.7873397855087627
Flood,Delta_Total_mean,3823,-0.17232643835991004,0.07791292147555899,0.5987444415380592
Flood,Delta_HA_mean,3823,0.16359057225882678,0.0273306054430783,0.5708915145005371
Flood,Delta_CC_mean,3823,-0.22502171080497582,0.0709307329023004,0.582003662045514
